Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00217886,Wind generation,"Wind Onshore",2018-07-04,48,765.018
NGET-EMFIP-AGWS-TS-00217885,Wind generation,"Wind Offshore",2018-07-04,48,151.78
NGET-EMFIP-AGWS-TS-00217884,Solar generation,"Solar",2018-07-04,48,0
NGET-EMFIP-AGWS-TS-00217883,Wind generation,"Wind Onshore",2018-07-04,47,735.986
NGET-EMFIP-AGWS-TS-00217882,Wind generation,"Wind Offshore",2018-07-04,47,152.11
NGET-EMFIP-AGWS-TS-00217881,Solar generation,"Solar",2018-07-04,47,0
NGET-EMFIP-AGWS-TS-00217880,Wind generation,"Wind Onshore",2018-07-04,46,642.155
NGET-EMFIP-AGWS-TS-00217879,Wind generation,"Wind Offshore",2018-07-04,46,151.49
NGET-EMFIP-AGWS-TS-00217878,Solar generation,"Solar",2018-07-04,46,0
NGET-EMFIP-AGWS-TS-00217877,Wind generation,"Wind Onshore",2018-07-04,45,569.259
NGET-EMFIP-AGWS-TS-00217876,Wind generation,"Wind Offshore",2018-07-04,45,151.692
NGET-EMFIP-AGWS-TS-00217875,Solar generation,"Solar",2018-07-04,45,9
NGET-EMFIP-AGWS-TS-00217874,Wind generation,"Wind Onshore",2018-07-04,44,575.078
NGET-EMFIP-AGWS-TS-00217873,Wind generation,"Wind Offshore",2018-07-04,44,190.583
NGET-EMFIP-AGWS-TS-00217872,Solar generation,"Solar",2018-07-04,44,9
NGET-EMFIP-AGWS-TS-00217871,Wind generation,"Wind Onshore",2018-07-04,43,537.426
NGET-EMFIP-AGWS-TS-00217870,Wind generation,"Wind Offshore",2018-07-04,43,199.558
NGET-EMFIP-AGWS-TS-00217869,Solar generation,"Solar",2018-07-04,43,35
NGET-EMFIP-AGWS-TS-00217868,Wind generation,"Wind Onshore",2018-07-04,42,534.476
NGET-EMFIP-AGWS-TS-00217867,Wind generation,"Wind Offshore",2018-07-04,42,217.109
