Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00214517,Wind generation,"Wind Onshore",2018-06-15,48,1435.958
NGET-EMFIP-AGWS-TS-00214516,Wind generation,"Wind Offshore",2018-06-15,48,706.123
NGET-EMFIP-AGWS-TS-00214515,Solar generation,"Solar",2018-06-15,48,0
NGET-EMFIP-AGWS-TS-00214514,Wind generation,"Wind Onshore",2018-06-15,47,1413.084
NGET-EMFIP-AGWS-TS-00214513,Wind generation,"Wind Offshore",2018-06-15,47,694.235
NGET-EMFIP-AGWS-TS-00214512,Solar generation,"Solar",2018-06-15,47,0
NGET-EMFIP-AGWS-TS-00214511,Wind generation,"Wind Onshore",2018-06-15,46,1414.176
NGET-EMFIP-AGWS-TS-00214510,Wind generation,"Wind Offshore",2018-06-15,46,787.392
NGET-EMFIP-AGWS-TS-00214509,Solar generation,"Solar",2018-06-15,46,0
NGET-EMFIP-AGWS-TS-00214508,Wind generation,"Wind Onshore",2018-06-15,45,1388.403
NGET-EMFIP-AGWS-TS-00214507,Wind generation,"Wind Offshore",2018-06-15,45,675.162
NGET-EMFIP-AGWS-TS-00214506,Solar generation,"Solar",2018-06-15,45,2
NGET-EMFIP-AGWS-TS-00214505,Wind generation,"Wind Onshore",2018-06-15,44,1397.587
NGET-EMFIP-AGWS-TS-00214504,Wind generation,"Wind Offshore",2018-06-15,44,633.137
NGET-EMFIP-AGWS-TS-00214503,Solar generation,"Solar",2018-06-15,44,5
NGET-EMFIP-AGWS-TS-00214502,Wind generation,"Wind Onshore",2018-06-15,43,1374.037
NGET-EMFIP-AGWS-TS-00214501,Wind generation,"Wind Offshore",2018-06-15,43,558.134
NGET-EMFIP-AGWS-TS-00214500,Solar generation,"Solar",2018-06-15,43,369
NGET-EMFIP-AGWS-TS-00214499,Wind generation,"Wind Onshore",2018-06-15,42,1412.297
NGET-EMFIP-AGWS-TS-00214498,Wind generation,"Wind Offshore",2018-06-15,42,532.884
NGET-EMFIP-AGWS-TS-00214497,Solar generation,"Solar",2018-06-15,42,167
NGET-EMFIP-AGWS-TS-00214496,Wind generation,"Wind Onshore",2018-06-15,41,1407.386
NGET-EMFIP-AGWS-TS-00214495,Wind generation,"Wind Offshore",2018-06-15,41,587.754
NGET-EMFIP-AGWS-TS-00214494,Solar generation,"Solar",2018-06-15,41,428
