Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00214694,Wind generation,"Wind Onshore",2018-06-16,48,2306.332
NGET-EMFIP-AGWS-TS-00214693,Wind generation,"Wind Offshore",2018-06-16,48,1765.338
NGET-EMFIP-AGWS-TS-00214692,Solar generation,"Solar",2018-06-16,48,0
NGET-EMFIP-AGWS-TS-00214691,Wind generation,"Wind Onshore",2018-06-16,47,2236.031
NGET-EMFIP-AGWS-TS-00214690,Wind generation,"Wind Offshore",2018-06-16,47,1827.996
NGET-EMFIP-AGWS-TS-00214689,Solar generation,"Solar",2018-06-16,47,0
NGET-EMFIP-AGWS-TS-00214688,Wind generation,"Wind Onshore",2018-06-16,46,2216.85
NGET-EMFIP-AGWS-TS-00214687,Wind generation,"Wind Offshore",2018-06-16,46,1806.964
NGET-EMFIP-AGWS-TS-00214686,Solar generation,"Solar",2018-06-16,46,0
NGET-EMFIP-AGWS-TS-00214685,Wind generation,"Wind Onshore",2018-06-16,45,2379.205
NGET-EMFIP-AGWS-TS-00214684,Wind generation,"Wind Offshore",2018-06-16,45,2195.334
NGET-EMFIP-AGWS-TS-00214683,Solar generation,"Solar",2018-06-16,45,3
NGET-EMFIP-AGWS-TS-00214682,Wind generation,"Wind Onshore",2018-06-16,44,2587.355
NGET-EMFIP-AGWS-TS-00214681,Wind generation,"Wind Offshore",2018-06-16,44,2317.208
NGET-EMFIP-AGWS-TS-00214680,Solar generation,"Solar",2018-06-16,44,8
NGET-EMFIP-AGWS-TS-00214679,Wind generation,"Wind Onshore",2018-06-16,43,2610.548
NGET-EMFIP-AGWS-TS-00214678,Wind generation,"Wind Offshore",2018-06-16,43,2500.362
NGET-EMFIP-AGWS-TS-00214677,Solar generation,"Solar",2018-06-16,43,400
NGET-EMFIP-AGWS-TS-00214676,Wind generation,"Wind Onshore",2018-06-16,42,2774.708
NGET-EMFIP-AGWS-TS-00214675,Wind generation,"Wind Offshore",2018-06-16,42,2564.62
NGET-EMFIP-AGWS-TS-00214674,Solar generation,"Solar",2018-06-16,42,186
NGET-EMFIP-AGWS-TS-00214673,Wind generation,"Wind Onshore",2018-06-16,41,2853.405
NGET-EMFIP-AGWS-TS-00214672,Wind generation,"Wind Offshore",2018-06-16,41,2472.413
NGET-EMFIP-AGWS-TS-00214671,Solar generation,"Solar",2018-06-16,41,452
NGET-EMFIP-AGWS-TS-00214670,Wind generation,"Wind Onshore",2018-06-16,40,2914.492
