Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00212538,Wind generation,Wind Onshore,03/06/2018,48,395.593
NGET-EMFIP-AGWS-TS-00212537,Wind generation,Wind Offshore,03/06/2018,48,395.928
NGET-EMFIP-AGWS-TS-00212536,Solar generation,Solar,03/06/2018,48,0
NGET-EMFIP-AGWS-TS-00212535,Wind generation,Wind Onshore,03/06/2018,47,382.866
NGET-EMFIP-AGWS-TS-00212534,Wind generation,Wind Offshore,03/06/2018,47,313.137
NGET-EMFIP-AGWS-TS-00212533,Solar generation,Solar,03/06/2018,47,0
NGET-EMFIP-AGWS-TS-00212532,Wind generation,Wind Onshore,03/06/2018,46,387.884
NGET-EMFIP-AGWS-TS-00212531,Wind generation,Wind Offshore,03/06/2018,46,286.884
NGET-EMFIP-AGWS-TS-00212530,Solar generation,Solar,03/06/2018,46,0
NGET-EMFIP-AGWS-TS-00212529,Wind generation,Wind Onshore,03/06/2018,45,364.428
NGET-EMFIP-AGWS-TS-00212528,Wind generation,Wind Offshore,03/06/2018,45,277.694
NGET-EMFIP-AGWS-TS-00212527,Solar generation,Solar,03/06/2018,45,8
NGET-EMFIP-AGWS-TS-00212526,Wind generation,Wind Onshore,03/06/2018,44,372.362
NGET-EMFIP-AGWS-TS-00212525,Wind generation,Wind Offshore,03/06/2018,44,311.366
NGET-EMFIP-AGWS-TS-00212524,Solar generation,Solar,03/06/2018,44,13
NGET-EMFIP-AGWS-TS-00212523,Wind generation,Wind Onshore,03/06/2018,43,382.963
NGET-EMFIP-AGWS-TS-00212522,Wind generation,Wind Offshore,03/06/2018,43,380.874
NGET-EMFIP-AGWS-TS-00212521,Solar generation,Solar,03/06/2018,43,17
NGET-EMFIP-AGWS-TS-00212520,Wind generation,Wind Onshore,03/06/2018,42,400.435
NGET-EMFIP-AGWS-TS-00212519,Wind generation,Wind Offshore,03/06/2018,42,400.536
NGET-EMFIP-AGWS-TS-00212518,Solar generation,Solar,03/06/2018,42,120
NGET-EMFIP-AGWS-TS-00212517,Wind generation,Wind Onshore,03/06/2018,41,422.486
NGET-EMFIP-AGWS-TS-00212516,Wind generation,Wind Offshore,03/06/2018,41,391.01
NGET-EMFIP-AGWS-TS-00212515,Solar generation,Solar,03/06/2018,41,391
NGET-EMFIP-AGWS-TS-00212514,Wind generation,Wind Onshore,03/06/2018,40,475.794
NGET-EMFIP-AGWS-TS-00212513,Wind generation,Wind Offshore,03/06/2018,40,403.095
NGET-EMFIP-AGWS-TS-00212512,Solar generation,Solar,03/06/2018,40,797
NGET-EMFIP-AGWS-TS-00212511,Wind generation,Wind Onshore,03/06/2018,39,494.296
NGET-EMFIP-AGWS-TS-00212510,Wind generation,Wind Offshore,03/06/2018,39,357.546
