Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00201145,Wind generation,"Wind Onshore",2018-03-25,46,1518.757
NGET-EMFIP-AGWS-TS-00201144,Wind generation,"Wind Offshore",2018-03-25,46,301.822
NGET-EMFIP-AGWS-TS-00201143,Solar generation,"Solar",2018-03-25,46,0
NGET-EMFIP-AGWS-TS-00201142,Wind generation,"Wind Onshore",2018-03-25,45,1569.09
NGET-EMFIP-AGWS-TS-00201141,Wind generation,"Wind Offshore",2018-03-25,45,357.301
NGET-EMFIP-AGWS-TS-00201140,Solar generation,"Solar",2018-03-25,45,0
NGET-EMFIP-AGWS-TS-00201139,Wind generation,"Wind Onshore",2018-03-25,44,1666.15
NGET-EMFIP-AGWS-TS-00201138,Wind generation,"Wind Offshore",2018-03-25,44,288.663
NGET-EMFIP-AGWS-TS-00201137,Solar generation,"Solar",2018-03-25,44,0
NGET-EMFIP-AGWS-TS-00201136,Wind generation,"Wind Onshore",2018-03-25,43,1613.335
NGET-EMFIP-AGWS-TS-00201135,Wind generation,"Wind Offshore",2018-03-25,43,271.725
NGET-EMFIP-AGWS-TS-00201134,Solar generation,"Solar",2018-03-25,43,0
NGET-EMFIP-AGWS-TS-00201133,Wind generation,"Wind Onshore",2018-03-25,42,1548.632
NGET-EMFIP-AGWS-TS-00201132,Wind generation,"Wind Offshore",2018-03-25,42,201.326
NGET-EMFIP-AGWS-TS-00201131,Solar generation,"Solar",2018-03-25,42,0
NGET-EMFIP-AGWS-TS-00201130,Wind generation,"Wind Onshore",2018-03-25,41,1538.052
NGET-EMFIP-AGWS-TS-00201129,Wind generation,"Wind Offshore",2018-03-25,41,180.706
NGET-EMFIP-AGWS-TS-00201128,Solar generation,"Solar",2018-03-25,41,0
NGET-EMFIP-AGWS-TS-00201127,Wind generation,"Wind Onshore",2018-03-25,40,1577.505
NGET-EMFIP-AGWS-TS-00201126,Wind generation,"Wind Offshore",2018-03-25,40,199.235
NGET-EMFIP-AGWS-TS-00201125,Solar generation,"Solar",2018-03-25,40,0
NGET-EMFIP-AGWS-TS-00201124,Wind generation,"Wind Onshore",2018-03-25,39,1590.948
NGET-EMFIP-AGWS-TS-00201123,Wind generation,"Wind Offshore",2018-03-25,39,200.489
NGET-EMFIP-AGWS-TS-00201122,Solar generation,"Solar",2018-03-25,39,87
NGET-EMFIP-AGWS-TS-00201121,Wind generation,"Wind Onshore",2018-03-25,38,1702.23
NGET-EMFIP-AGWS-TS-00201120,Wind generation,"Wind Offshore",2018-03-25,38,209.25
NGET-EMFIP-AGWS-TS-00201119,Solar generation,"Solar",2018-03-25,38,174
NGET-EMFIP-AGWS-TS-00201118,Wind generation,"Wind Onshore",2018-03-25,37,1883.968
NGET-EMFIP-AGWS-TS-00201117,Wind generation,"Wind Offshore",2018-03-25,37,243.078
NGET-EMFIP-AGWS-TS-00201116,Solar generation,"Solar",2018-03-25,37,721
NGET-EMFIP-AGWS-TS-00201115,Wind generation,"Wind Onshore",2018-03-25,36,2168.663
NGET-EMFIP-AGWS-TS-00201114,Wind generation,"Wind Offshore",2018-03-25,36,248.601
NGET-EMFIP-AGWS-TS-00201113,Solar generation,"Solar",2018-03-25,36,1291
NGET-EMFIP-AGWS-TS-00201112,Wind generation,"Wind Onshore",2018-03-25,35,2388.438
NGET-EMFIP-AGWS-TS-00201111,Wind generation,"Wind Offshore",2018-03-25,35,286.087
NGET-EMFIP-AGWS-TS-00201110,Solar generation,"Solar",2018-03-25,35,1875
NGET-EMFIP-AGWS-TS-00201109,Wind generation,"Wind Onshore",2018-03-25,34,2580.521
NGET-EMFIP-AGWS-TS-00201108,Wind generation,"Wind Offshore",2018-03-25,34,290.585
NGET-EMFIP-AGWS-TS-00201107,Solar generation,"Solar",2018-03-25,34,2786
NGET-EMFIP-AGWS-TS-00201106,Wind generation,"Wind Onshore",2018-03-25,33,2631.472
NGET-EMFIP-AGWS-TS-00201105,Wind generation,"Wind Offshore",2018-03-25,33,303.578
