Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00198212,Wind generation,"Wind Onshore",2018-03-07,48,2222.411
NGET-EMFIP-AGWS-TS-00198211,Wind generation,"Wind Offshore",2018-03-07,48,1551.591
NGET-EMFIP-AGWS-TS-00198210,Solar generation,"Solar",2018-03-07,48,0
NGET-EMFIP-AGWS-TS-00198209,Wind generation,"Wind Onshore",2018-03-07,47,2245.254
NGET-EMFIP-AGWS-TS-00198208,Wind generation,"Wind Offshore",2018-03-07,47,1737.91
NGET-EMFIP-AGWS-TS-00198207,Solar generation,"Solar",2018-03-07,47,0
NGET-EMFIP-AGWS-TS-00198206,Wind generation,"Wind Onshore",2018-03-07,46,2320.746
NGET-EMFIP-AGWS-TS-00198205,Wind generation,"Wind Offshore",2018-03-07,46,1789.048
NGET-EMFIP-AGWS-TS-00198204,Solar generation,"Solar",2018-03-07,46,0
NGET-EMFIP-AGWS-TS-00198203,Wind generation,"Wind Onshore",2018-03-07,45,2265.326
NGET-EMFIP-AGWS-TS-00198202,Wind generation,"Wind Offshore",2018-03-07,45,1754.288
NGET-EMFIP-AGWS-TS-00198201,Solar generation,"Solar",2018-03-07,45,1
NGET-EMFIP-AGWS-TS-00198200,Wind generation,"Wind Onshore",2018-03-07,44,2311.967
NGET-EMFIP-AGWS-TS-00198199,Wind generation,"Wind Offshore",2018-03-07,44,1850.368
NGET-EMFIP-AGWS-TS-00198198,Solar generation,"Solar",2018-03-07,44,1
NGET-EMFIP-AGWS-TS-00198197,Wind generation,"Wind Onshore",2018-03-07,43,2231.428
NGET-EMFIP-AGWS-TS-00198196,Wind generation,"Wind Offshore",2018-03-07,43,1614.772
NGET-EMFIP-AGWS-TS-00198195,Solar generation,"Solar",2018-03-07,43,0
NGET-EMFIP-AGWS-TS-00198194,Wind generation,"Wind Onshore",2018-03-07,42,2211.638
NGET-EMFIP-AGWS-TS-00198193,Wind generation,"Wind Offshore",2018-03-07,42,1705.817
NGET-EMFIP-AGWS-TS-00198192,Solar generation,"Solar",2018-03-07,42,0
NGET-EMFIP-AGWS-TS-00198191,Wind generation,"Wind Onshore",2018-03-07,41,2060.232
NGET-EMFIP-AGWS-TS-00198190,Wind generation,"Wind Offshore",2018-03-07,41,1623.458
NGET-EMFIP-AGWS-TS-00198189,Solar generation,"Solar",2018-03-07,41,0
NGET-EMFIP-AGWS-TS-00198188,Wind generation,"Wind Onshore",2018-03-07,40,1936.902
NGET-EMFIP-AGWS-TS-00198187,Wind generation,"Wind Offshore",2018-03-07,40,1421.15
NGET-EMFIP-AGWS-TS-00198186,Solar generation,"Solar",2018-03-07,40,3
NGET-EMFIP-AGWS-TS-00198185,Wind generation,"Wind Onshore",2018-03-07,39,2115.346
NGET-EMFIP-AGWS-TS-00198184,Wind generation,"Wind Offshore",2018-03-07,39,1017.25
NGET-EMFIP-AGWS-TS-00198183,Solar generation,"Solar",2018-03-07,39,2
NGET-EMFIP-AGWS-TS-00198182,Wind generation,"Wind Onshore",2018-03-07,38,2194.662
NGET-EMFIP-AGWS-TS-00198181,Wind generation,"Wind Offshore",2018-03-07,38,764.23
NGET-EMFIP-AGWS-TS-00198180,Solar generation,"Solar",2018-03-07,38,3
NGET-EMFIP-AGWS-TS-00198179,Wind generation,"Wind Onshore",2018-03-07,37,2167.631
NGET-EMFIP-AGWS-TS-00198178,Wind generation,"Wind Offshore",2018-03-07,37,648.687
NGET-EMFIP-AGWS-TS-00198177,Solar generation,"Solar",2018-03-07,37,4
NGET-EMFIP-AGWS-TS-00198176,Wind generation,"Wind Onshore",2018-03-07,36,2146.303
NGET-EMFIP-AGWS-TS-00198175,Wind generation,"Wind Offshore",2018-03-07,36,694.377
NGET-EMFIP-AGWS-TS-00198174,Solar generation,"Solar",2018-03-07,36,60
NGET-EMFIP-AGWS-TS-00198173,Wind generation,"Wind Onshore",2018-03-07,35,2126.186
NGET-EMFIP-AGWS-TS-00198172,Wind generation,"Wind Offshore",2018-03-07,35,687.601
NGET-EMFIP-AGWS-TS-00198171,Solar generation,"Solar",2018-03-07,35,546
NGET-EMFIP-AGWS-TS-00198170,Wind generation,"Wind Onshore",2018-03-07,34,2359.552
NGET-EMFIP-AGWS-TS-00198169,Wind generation,"Wind Offshore",2018-03-07,34,722.557
NGET-EMFIP-AGWS-TS-00198168,Solar generation,"Solar",2018-03-07,34,1350
NGET-EMFIP-AGWS-TS-00198167,Wind generation,"Wind Onshore",2018-03-07,33,2426.527
NGET-EMFIP-AGWS-TS-00198166,Wind generation,"Wind Offshore",2018-03-07,33,639.575
NGET-EMFIP-AGWS-TS-00198165,Solar generation,"Solar",2018-03-07,33,2040
NGET-EMFIP-AGWS-TS-00198164,Wind generation,"Wind Onshore",2018-03-07,32,2403.532
NGET-EMFIP-AGWS-TS-00198163,Wind generation,"Wind Offshore",2018-03-07,32,609.655
NGET-EMFIP-AGWS-TS-00198162,Solar generation,"Solar",2018-03-07,32,2780
