Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00208924,Wind generation,"Wind Onshore",2018-05-12,48,678.98
NGET-EMFIP-AGWS-TS-00208923,Wind generation,"Wind Offshore",2018-05-12,48,660.075
NGET-EMFIP-AGWS-TS-00208922,Solar generation,"Solar",2018-05-12,48,0
NGET-EMFIP-AGWS-TS-00208921,Wind generation,"Wind Onshore",2018-05-12,47,683.013
NGET-EMFIP-AGWS-TS-00208920,Wind generation,"Wind Offshore",2018-05-12,47,653.117
NGET-EMFIP-AGWS-TS-00208919,Solar generation,"Solar",2018-05-12,47,0
NGET-EMFIP-AGWS-TS-00208918,Wind generation,"Wind Onshore",2018-05-12,46,725.858
NGET-EMFIP-AGWS-TS-00208917,Wind generation,"Wind Offshore",2018-05-12,46,682.648
NGET-EMFIP-AGWS-TS-00208916,Solar generation,"Solar",2018-05-12,46,0
NGET-EMFIP-AGWS-TS-00208915,Wind generation,"Wind Onshore",2018-05-12,45,725.779
NGET-EMFIP-AGWS-TS-00208914,Wind generation,"Wind Offshore",2018-05-12,45,788.768
NGET-EMFIP-AGWS-TS-00208913,Solar generation,"Solar",2018-05-12,45,1
NGET-EMFIP-AGWS-TS-00208912,Wind generation,"Wind Onshore",2018-05-12,44,818.267
NGET-EMFIP-AGWS-TS-00208911,Wind generation,"Wind Offshore",2018-05-12,44,961.132
NGET-EMFIP-AGWS-TS-00208910,Solar generation,"Solar",2018-05-12,44,20
NGET-EMFIP-AGWS-TS-00208909,Wind generation,"Wind Onshore",2018-05-12,43,784.174
NGET-EMFIP-AGWS-TS-00208908,Wind generation,"Wind Offshore",2018-05-12,43,1068.044
NGET-EMFIP-AGWS-TS-00208907,Solar generation,"Solar",2018-05-12,43,75
NGET-EMFIP-AGWS-TS-00208906,Wind generation,"Wind Onshore",2018-05-12,42,742.654
NGET-EMFIP-AGWS-TS-00208905,Wind generation,"Wind Offshore",2018-05-12,42,1192.82
NGET-EMFIP-AGWS-TS-00208904,Solar generation,"Solar",2018-05-12,42,14
NGET-EMFIP-AGWS-TS-00208903,Wind generation,"Wind Onshore",2018-05-12,41,796.484
NGET-EMFIP-AGWS-TS-00208902,Wind generation,"Wind Offshore",2018-05-12,41,963.396
NGET-EMFIP-AGWS-TS-00208901,Solar generation,"Solar",2018-05-12,41,90
NGET-EMFIP-AGWS-TS-00208900,Wind generation,"Wind Onshore",2018-05-12,40,907.437
NGET-EMFIP-AGWS-TS-00208899,Wind generation,"Wind Offshore",2018-05-12,40,862.049
NGET-EMFIP-AGWS-TS-00208898,Solar generation,"Solar",2018-05-12,40,217
NGET-EMFIP-AGWS-TS-00208897,Wind generation,"Wind Onshore",2018-05-12,39,932.333
NGET-EMFIP-AGWS-TS-00208896,Wind generation,"Wind Offshore",2018-05-12,39,765.042
NGET-EMFIP-AGWS-TS-00208895,Solar generation,"Solar",2018-05-12,39,420
NGET-EMFIP-AGWS-TS-00208894,Wind generation,"Wind Onshore",2018-05-12,38,961.251
NGET-EMFIP-AGWS-TS-00208893,Wind generation,"Wind Offshore",2018-05-12,38,686.393
NGET-EMFIP-AGWS-TS-00208892,Solar generation,"Solar",2018-05-12,38,679
NGET-EMFIP-AGWS-TS-00208891,Wind generation,"Wind Onshore",2018-05-12,37,900.09
NGET-EMFIP-AGWS-TS-00208890,Wind generation,"Wind Offshore",2018-05-12,37,514.569
NGET-EMFIP-AGWS-TS-00208889,Solar generation,"Solar",2018-05-12,37,998
NGET-EMFIP-AGWS-TS-00208888,Wind generation,"Wind Onshore",2018-05-12,36,824.643
NGET-EMFIP-AGWS-TS-00208887,Wind generation,"Wind Offshore",2018-05-12,36,563.935
NGET-EMFIP-AGWS-TS-00208886,Solar generation,"Solar",2018-05-12,36,1340
NGET-EMFIP-AGWS-TS-00208885,Wind generation,"Wind Onshore",2018-05-12,35,750.478
NGET-EMFIP-AGWS-TS-00208884,Wind generation,"Wind Offshore",2018-05-12,35,476.173
NGET-EMFIP-AGWS-TS-00208883,Solar generation,"Solar",2018-05-12,35,1710
NGET-EMFIP-AGWS-TS-00208882,Wind generation,"Wind Onshore",2018-05-12,34,717.954
NGET-EMFIP-AGWS-TS-00208881,Wind generation,"Wind Offshore",2018-05-12,34,464.789
NGET-EMFIP-AGWS-TS-00208880,Solar generation,"Solar",2018-05-12,34,2030
NGET-EMFIP-AGWS-TS-00208879,Wind generation,"Wind Onshore",2018-05-12,33,692.083
NGET-EMFIP-AGWS-TS-00208878,Wind generation,"Wind Offshore",2018-05-12,33,392.913
NGET-EMFIP-AGWS-TS-00208877,Solar generation,"Solar",2018-05-12,33,2460
NGET-EMFIP-AGWS-TS-00208876,Wind generation,"Wind Onshore",2018-05-12,32,630.582
NGET-EMFIP-AGWS-TS-00208875,Wind generation,"Wind Offshore",2018-05-12,32,370.082
NGET-EMFIP-AGWS-TS-00208874,Solar generation,"Solar",2018-05-12,32,3070
NGET-EMFIP-AGWS-TS-00208873,Wind generation,"Wind Onshore",2018-05-12,31,615.579
NGET-EMFIP-AGWS-TS-00208872,Wind generation,"Wind Offshore",2018-05-12,31,365.631
NGET-EMFIP-AGWS-TS-00208871,Solar generation,"Solar",2018-05-12,31,3470
NGET-EMFIP-AGWS-TS-00208870,Wind generation,"Wind Onshore",2018-05-12,30,548.938
NGET-EMFIP-AGWS-TS-00208869,Wind generation,"Wind Offshore",2018-05-12,30,369.309
NGET-EMFIP-AGWS-TS-00208868,Solar generation,"Solar",2018-05-12,30,3760
NGET-EMFIP-AGWS-TS-00208867,Wind generation,"Wind Onshore",2018-05-12,29,542.954
NGET-EMFIP-AGWS-TS-00208866,Wind generation,"Wind Offshore",2018-05-12,29,352.332
NGET-EMFIP-AGWS-TS-00208865,Solar generation,"Solar",2018-05-12,29,4305
NGET-EMFIP-AGWS-TS-00208864,Wind generation,"Wind Onshore",2018-05-12,28,544.388
NGET-EMFIP-AGWS-TS-00208863,Wind generation,"Wind Offshore",2018-05-12,28,350.703
NGET-EMFIP-AGWS-TS-00208862,Solar generation,"Solar",2018-05-12,28,4560
NGET-EMFIP-AGWS-TS-00208861,Wind generation,"Wind Onshore",2018-05-12,27,504.001
NGET-EMFIP-AGWS-TS-00208860,Wind generation,"Wind Offshore",2018-05-12,27,354.349
NGET-EMFIP-AGWS-TS-00208859,Solar generation,"Solar",2018-05-12,27,4680
NGET-EMFIP-AGWS-TS-00208858,Wind generation,"Wind Onshore",2018-05-12,26,436.553
NGET-EMFIP-AGWS-TS-00208857,Wind generation,"Wind Offshore",2018-05-12,26,373.172
NGET-EMFIP-AGWS-TS-00208856,Solar generation,"Solar",2018-05-12,26,4810
NGET-EMFIP-AGWS-TS-00208855,Wind generation,"Wind Onshore",2018-05-12,25,433.851
NGET-EMFIP-AGWS-TS-00208854,Wind generation,"Wind Offshore",2018-05-12,25,373.292
NGET-EMFIP-AGWS-TS-00208853,Solar generation,"Solar",2018-05-12,25,5080
NGET-EMFIP-AGWS-TS-00208852,Wind generation,"Wind Onshore",2018-05-12,24,414.082
NGET-EMFIP-AGWS-TS-00208851,Wind generation,"Wind Offshore",2018-05-12,24,335.337
NGET-EMFIP-AGWS-TS-00208850,Solar generation,"Solar",2018-05-12,24,5090
NGET-EMFIP-AGWS-TS-00208849,Wind generation,"Wind Onshore",2018-05-12,23,408.847
NGET-EMFIP-AGWS-TS-00208848,Wind generation,"Wind Offshore",2018-05-12,23,339.746
NGET-EMFIP-AGWS-TS-00208847,Solar generation,"Solar",2018-05-12,23,4880
NGET-EMFIP-AGWS-TS-00208846,Wind generation,"Wind Onshore",2018-05-12,22,383.254
NGET-EMFIP-AGWS-TS-00208845,Wind generation,"Wind Offshore",2018-05-12,22,340.109
NGET-EMFIP-AGWS-TS-00208844,Solar generation,"Solar",2018-05-12,22,4600
NGET-EMFIP-AGWS-TS-00208840,Wind generation,"Wind Onshore",2018-05-12,20,361.396
NGET-EMFIP-AGWS-TS-00208839,Wind generation,"Wind Offshore",2018-05-12,20,340.678
NGET-EMFIP-AGWS-TS-00208838,Solar generation,"Solar",2018-05-12,20,4040
NGET-EMFIP-AGWS-TS-00208837,Wind generation,"Wind Onshore",2018-05-12,19,362.895
NGET-EMFIP-AGWS-TS-00208836,Wind generation,"Wind Offshore",2018-05-12,19,345.327
NGET-EMFIP-AGWS-TS-00208835,Solar generation,"Solar",2018-05-12,19,3500
