Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00207453,Wind generation,"Wind Onshore",2018-05-03,48,2720.803
NGET-EMFIP-AGWS-TS-00207452,Wind generation,"Wind Offshore",2018-05-03,48,1573.969
NGET-EMFIP-AGWS-TS-00207451,Solar generation,"Solar",2018-05-03,48,0
NGET-EMFIP-AGWS-TS-00207450,Wind generation,"Wind Onshore",2018-05-03,47,2600.932
NGET-EMFIP-AGWS-TS-00207449,Wind generation,"Wind Offshore",2018-05-03,47,1492.428
NGET-EMFIP-AGWS-TS-00207448,Solar generation,"Solar",2018-05-03,47,0
NGET-EMFIP-AGWS-TS-00207447,Wind generation,"Wind Onshore",2018-05-03,46,2893.58
NGET-EMFIP-AGWS-TS-00207446,Wind generation,"Wind Offshore",2018-05-03,46,1619.164
NGET-EMFIP-AGWS-TS-00207445,Solar generation,"Solar",2018-05-03,46,0
NGET-EMFIP-AGWS-TS-00207444,Wind generation,"Wind Onshore",2018-05-03,45,3070.198
NGET-EMFIP-AGWS-TS-00207443,Wind generation,"Wind Offshore",2018-05-03,45,1842.598
NGET-EMFIP-AGWS-TS-00207442,Solar generation,"Solar",2018-05-03,45,0
NGET-EMFIP-AGWS-TS-00207441,Wind generation,"Wind Onshore",2018-05-03,44,3252.454
NGET-EMFIP-AGWS-TS-00207440,Wind generation,"Wind Offshore",2018-05-03,44,1873.435
NGET-EMFIP-AGWS-TS-00207439,Solar generation,"Solar",2018-05-03,44,2
NGET-EMFIP-AGWS-TS-00207430,Wind generation,"Wind Onshore",2018-05-03,43,3527.108
NGET-EMFIP-AGWS-TS-00207429,Wind generation,"Wind Offshore",2018-05-03,43,1854.942
NGET-EMFIP-AGWS-TS-00207428,Solar generation,"Solar",2018-05-03,43,3
NGET-EMFIP-AGWS-TS-00207427,Wind generation,"Wind Onshore",2018-05-03,42,3634.519
NGET-EMFIP-AGWS-TS-00207426,Wind generation,"Wind Offshore",2018-05-03,42,1823.199
NGET-EMFIP-AGWS-TS-00207425,Solar generation,"Solar",2018-05-03,42,6
NGET-EMFIP-AGWS-TS-00207424,Wind generation,"Wind Onshore",2018-05-03,41,3811.935
NGET-EMFIP-AGWS-TS-00207423,Wind generation,"Wind Offshore",2018-05-03,41,1646.837
NGET-EMFIP-AGWS-TS-00207422,Solar generation,"Solar",2018-05-03,41,33
NGET-EMFIP-AGWS-TS-00207421,Wind generation,"Wind Onshore",2018-05-03,40,4056.502
NGET-EMFIP-AGWS-TS-00207420,Wind generation,"Wind Offshore",2018-05-03,40,1551.806
NGET-EMFIP-AGWS-TS-00207419,Solar generation,"Solar",2018-05-03,40,161
NGET-EMFIP-AGWS-TS-00207418,Wind generation,"Wind Onshore",2018-05-03,39,4214.511
NGET-EMFIP-AGWS-TS-00207417,Wind generation,"Wind Offshore",2018-05-03,39,1468.147
NGET-EMFIP-AGWS-TS-00207416,Solar generation,"Solar",2018-05-03,39,423
NGET-EMFIP-AGWS-TS-00207415,Wind generation,"Wind Onshore",2018-05-03,38,4348.844
NGET-EMFIP-AGWS-TS-00207414,Wind generation,"Wind Offshore",2018-05-03,38,1455.015
NGET-EMFIP-AGWS-TS-00207413,Solar generation,"Solar",2018-05-03,38,758
NGET-EMFIP-AGWS-TS-00207412,Wind generation,"Wind Onshore",2018-05-03,37,4379.433
NGET-EMFIP-AGWS-TS-00207411,Wind generation,"Wind Offshore",2018-05-03,37,1519.005
NGET-EMFIP-AGWS-TS-00207410,Solar generation,"Solar",2018-05-03,37,1220
NGET-EMFIP-AGWS-TS-00207409,Wind generation,"Wind Onshore",2018-05-03,36,4347.382
NGET-EMFIP-AGWS-TS-00207408,Wind generation,"Wind Offshore",2018-05-03,36,1333.636
NGET-EMFIP-AGWS-TS-00207407,Solar generation,"Solar",2018-05-03,36,1840
NGET-EMFIP-AGWS-TS-00207406,Wind generation,"Wind Onshore",2018-05-03,35,4274.458
NGET-EMFIP-AGWS-TS-00207405,Wind generation,"Wind Offshore",2018-05-03,35,1252.773
NGET-EMFIP-AGWS-TS-00207404,Solar generation,"Solar",2018-05-03,35,2580
NGET-EMFIP-AGWS-TS-00207403,Wind generation,"Wind Onshore",2018-05-03,34,4395.104
NGET-EMFIP-AGWS-TS-00207402,Wind generation,"Wind Offshore",2018-05-03,34,1171.469
NGET-EMFIP-AGWS-TS-00207401,Solar generation,"Solar",2018-05-03,34,3330
NGET-EMFIP-AGWS-TS-00207400,Wind generation,"Wind Onshore",2018-05-03,33,4397.09
NGET-EMFIP-AGWS-TS-00207399,Wind generation,"Wind Offshore",2018-05-03,33,1108.922
NGET-EMFIP-AGWS-TS-00207398,Solar generation,"Solar",2018-05-03,33,4030
NGET-EMFIP-AGWS-TS-00207397,Wind generation,"Wind Onshore",2018-05-03,32,4271.009
NGET-EMFIP-AGWS-TS-00207396,Wind generation,"Wind Offshore",2018-05-03,32,1049.519
NGET-EMFIP-AGWS-TS-00207395,Solar generation,"Solar",2018-05-03,32,4710
NGET-EMFIP-AGWS-TS-00207394,Wind generation,"Wind Onshore",2018-05-03,31,4353.526
NGET-EMFIP-AGWS-TS-00207393,Wind generation,"Wind Offshore",2018-05-03,31,1224.742
NGET-EMFIP-AGWS-TS-00207392,Solar generation,"Solar",2018-05-03,31,5330
NGET-EMFIP-AGWS-TS-00207391,Wind generation,"Wind Onshore",2018-05-03,30,4480.734
NGET-EMFIP-AGWS-TS-00207390,Wind generation,"Wind Offshore",2018-05-03,30,1150.779
NGET-EMFIP-AGWS-TS-00207389,Solar generation,"Solar",2018-05-03,30,5840
NGET-EMFIP-AGWS-TS-00207388,Wind generation,"Wind Onshore",2018-05-03,29,4205.963
NGET-EMFIP-AGWS-TS-00207387,Wind generation,"Wind Offshore",2018-05-03,29,1051.476
NGET-EMFIP-AGWS-TS-00207386,Solar generation,"Solar",2018-05-03,29,5793
NGET-EMFIP-AGWS-TS-00207385,Wind generation,"Wind Onshore",2018-05-03,28,3872.388
NGET-EMFIP-AGWS-TS-00207384,Wind generation,"Wind Offshore",2018-05-03,28,1032.656
NGET-EMFIP-AGWS-TS-00207383,Solar generation,"Solar",2018-05-03,28,6650
NGET-EMFIP-AGWS-TS-00207382,Wind generation,"Wind Onshore",2018-05-03,27,3825.299
NGET-EMFIP-AGWS-TS-00207381,Wind generation,"Wind Offshore",2018-05-03,27,939.599
NGET-EMFIP-AGWS-TS-00207380,Solar generation,"Solar",2018-05-03,27,6560
NGET-EMFIP-AGWS-TS-00207379,Wind generation,"Wind Onshore",2018-05-03,26,3626.008
NGET-EMFIP-AGWS-TS-00207378,Wind generation,"Wind Offshore",2018-05-03,26,909.022
NGET-EMFIP-AGWS-TS-00207377,Solar generation,"Solar",2018-05-03,26,6530
NGET-EMFIP-AGWS-TS-00207376,Wind generation,"Wind Onshore",2018-05-03,25,3456.397
NGET-EMFIP-AGWS-TS-00207375,Wind generation,"Wind Offshore",2018-05-03,25,821.649
NGET-EMFIP-AGWS-TS-00207374,Solar generation,"Solar",2018-05-03,25,6920
NGET-EMFIP-AGWS-TS-00207373,Wind generation,"Wind Onshore",2018-05-03,24,1126.286
NGET-EMFIP-AGWS-TS-00207372,Wind generation,"Wind Offshore",2018-05-03,24,25.858
NGET-EMFIP-AGWS-TS-00207371,Solar generation,"Solar",2018-05-03,24,6960
NGET-EMFIP-AGWS-TS-00207370,Wind generation,"Wind Onshore",2018-05-03,23,3092.152
NGET-EMFIP-AGWS-TS-00207369,Wind generation,"Wind Offshore",2018-05-03,23,771.485
NGET-EMFIP-AGWS-TS-00207368,Solar generation,"Solar",2018-05-03,23,6730
NGET-EMFIP-AGWS-TS-00207367,Wind generation,"Wind Onshore",2018-05-03,22,2929.061
NGET-EMFIP-AGWS-TS-00207366,Wind generation,"Wind Offshore",2018-05-03,22,765.617
NGET-EMFIP-AGWS-TS-00207365,Solar generation,"Solar",2018-05-03,22,6220
NGET-EMFIP-AGWS-TS-00207364,Wind generation,"Wind Onshore",2018-05-03,21,2916.74
NGET-EMFIP-AGWS-TS-00207363,Wind generation,"Wind Offshore",2018-05-03,21,750.28
NGET-EMFIP-AGWS-TS-00207362,Solar generation,"Solar",2018-05-03,21,5660
NGET-EMFIP-AGWS-TS-00207361,Wind generation,"Wind Onshore",2018-05-03,20,1006.811
NGET-EMFIP-AGWS-TS-00207360,Wind generation,"Wind Offshore",2018-05-03,20,31.825
NGET-EMFIP-AGWS-TS-00207359,Solar generation,"Solar",2018-05-03,20,4950
NGET-EMFIP-AGWS-TS-00207352,Wind generation,"Wind Onshore",2018-05-03,19,2799.069
NGET-EMFIP-AGWS-TS-00207351,Wind generation,"Wind Offshore",2018-05-03,19,741.41
NGET-EMFIP-AGWS-TS-00207350,Solar generation,"Solar",2018-05-03,19,4130
NGET-EMFIP-AGWS-TS-00207349,Wind generation,"Wind Onshore",2018-05-03,18,2745.365
NGET-EMFIP-AGWS-TS-00207348,Wind generation,"Wind Offshore",2018-05-03,18,764.618
NGET-EMFIP-AGWS-TS-00207347,Solar generation,"Solar",2018-05-03,18,3360
NGET-EMFIP-AGWS-TS-00207346,Wind generation,"Wind Onshore",2018-05-03,17,2531.63
NGET-EMFIP-AGWS-TS-00207345,Wind generation,"Wind Offshore",2018-05-03,17,793.459
NGET-EMFIP-AGWS-TS-00207344,Solar generation,"Solar",2018-05-03,17,1980
NGET-EMFIP-AGWS-TS-00207343,Wind generation,"Wind Onshore",2018-05-03,16,2365.64
NGET-EMFIP-AGWS-TS-00207342,Wind generation,"Wind Offshore",2018-05-03,16,766.921
NGET-EMFIP-AGWS-TS-00207341,Solar generation,"Solar",2018-05-03,16,1790
NGET-EMFIP-AGWS-TS-00207340,Wind generation,"Wind Onshore",2018-05-03,15,2330.749
NGET-EMFIP-AGWS-TS-00207339,Wind generation,"Wind Offshore",2018-05-03,15,789.113
NGET-EMFIP-AGWS-TS-00207338,Solar generation,"Solar",2018-05-03,15,1240
NGET-EMFIP-AGWS-TS-00207337,Wind generation,"Wind Onshore",2018-05-03,14,1040.822
NGET-EMFIP-AGWS-TS-00207336,Wind generation,"Wind Offshore",2018-05-03,14,57.011
NGET-EMFIP-AGWS-TS-00207335,Solar generation,"Solar",2018-05-03,14,716
NGET-EMFIP-AGWS-TS-00207334,Wind generation,"Wind Onshore",2018-05-03,13,2399.097
NGET-EMFIP-AGWS-TS-00207333,Wind generation,"Wind Offshore",2018-05-03,13,930.873
NGET-EMFIP-AGWS-TS-00207332,Solar generation,"Solar",2018-05-03,13,316
NGET-EMFIP-AGWS-TS-00207331,Wind generation,"Wind Onshore",2018-05-03,12,1104.799
NGET-EMFIP-AGWS-TS-00207330,Wind generation,"Wind Offshore",2018-05-03,12,63.958
NGET-EMFIP-AGWS-TS-00207329,Solar generation,"Solar",2018-05-03,12,52
NGET-EMFIP-AGWS-TS-00207328,Wind generation,"Wind Onshore",2018-05-03,11,1104.799
NGET-EMFIP-AGWS-TS-00207327,Wind generation,"Wind Offshore",2018-05-03,11,63.958
NGET-EMFIP-AGWS-TS-00207326,Solar generation,"Solar",2018-05-03,11,1
NGET-EMFIP-AGWS-TS-00207325,Wind generation,"Wind Onshore",2018-05-03,10,1174.721
NGET-EMFIP-AGWS-TS-00207324,Wind generation,"Wind Offshore",2018-05-03,10,70.985
