Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00210382,Wind generation,Wind Onshore,21/05/2018,48,2277.782
NGET-EMFIP-AGWS-TS-00210381,Wind generation,Wind Offshore,21/05/2018,48,1240.171
NGET-EMFIP-AGWS-TS-00210380,Solar generation,Solar,21/05/2018,48,0
NGET-EMFIP-AGWS-TS-00210379,Wind generation,Wind Onshore,21/05/2018,47,2271.603
NGET-EMFIP-AGWS-TS-00210378,Wind generation,Wind Offshore,21/05/2018,47,1280.74
NGET-EMFIP-AGWS-TS-00210377,Solar generation,Solar,21/05/2018,47,0
NGET-EMFIP-AGWS-TS-00210376,Wind generation,Wind Onshore,21/05/2018,46,2234.462
NGET-EMFIP-AGWS-TS-00210375,Wind generation,Wind Offshore,21/05/2018,46,1489.247
NGET-EMFIP-AGWS-TS-00210374,Solar generation,Solar,21/05/2018,46,0
NGET-EMFIP-AGWS-TS-00210373,Wind generation,Wind Onshore,21/05/2018,45,2205.52
NGET-EMFIP-AGWS-TS-00210372,Wind generation,Wind Offshore,21/05/2018,45,1438.445
NGET-EMFIP-AGWS-TS-00210371,Solar generation,Solar,21/05/2018,45,5
NGET-EMFIP-AGWS-TS-00210370,Wind generation,Wind Onshore,21/05/2018,44,2008.414
NGET-EMFIP-AGWS-TS-00210369,Wind generation,Wind Offshore,21/05/2018,44,1367.785
NGET-EMFIP-AGWS-TS-00210368,Solar generation,Solar,21/05/2018,44,11
NGET-EMFIP-AGWS-TS-00210367,Wind generation,Wind Onshore,21/05/2018,43,1960.964
NGET-EMFIP-AGWS-TS-00210366,Wind generation,Wind Offshore,21/05/2018,43,1385.148
NGET-EMFIP-AGWS-TS-00210365,Solar generation,Solar,21/05/2018,43,6
NGET-EMFIP-AGWS-TS-00210364,Wind generation,Wind Onshore,21/05/2018,42,1899.624
NGET-EMFIP-AGWS-TS-00210363,Wind generation,Wind Offshore,21/05/2018,42,1370.118
NGET-EMFIP-AGWS-TS-00210362,Solar generation,Solar,21/05/2018,42,40
NGET-EMFIP-AGWS-TS-00210361,Wind generation,Wind Onshore,21/05/2018,41,1895.503
NGET-EMFIP-AGWS-TS-00210360,Wind generation,Wind Offshore,21/05/2018,41,1371.204
NGET-EMFIP-AGWS-TS-00210359,Solar generation,Solar,21/05/2018,41,230
NGET-EMFIP-AGWS-TS-00210358,Wind generation,Wind Onshore,21/05/2018,40,1905.389
NGET-EMFIP-AGWS-TS-00210357,Wind generation,Wind Offshore,21/05/2018,40,1360.242
NGET-EMFIP-AGWS-TS-00210356,Solar generation,Solar,21/05/2018,40,525
NGET-EMFIP-AGWS-TS-00210355,Wind generation,Wind Onshore,21/05/2018,39,1859.274
NGET-EMFIP-AGWS-TS-00210354,Wind generation,Wind Offshore,21/05/2018,39,1404.885
NGET-EMFIP-AGWS-TS-00210353,Solar generation,Solar,21/05/2018,39,938
NGET-EMFIP-AGWS-TS-00210352,Wind generation,Wind Onshore,21/05/2018,38,1908.064
NGET-EMFIP-AGWS-TS-00210351,Wind generation,Wind Offshore,21/05/2018,38,1396.019
NGET-EMFIP-AGWS-TS-00210350,Solar generation,Solar,21/05/2018,38,1460
NGET-EMFIP-AGWS-TS-00210349,Wind generation,Wind Onshore,21/05/2018,37,1912.34
NGET-EMFIP-AGWS-TS-00210348,Wind generation,Wind Offshore,21/05/2018,37,1296.977
NGET-EMFIP-AGWS-TS-00210347,Solar generation,Solar,21/05/2018,37,2090
NGET-EMFIP-AGWS-TS-00210346,Wind generation,Wind Onshore,21/05/2018,36,1821.692
NGET-EMFIP-AGWS-TS-00210345,Wind generation,Wind Offshore,21/05/2018,36,1276.985
NGET-EMFIP-AGWS-TS-00210344,Solar generation,Solar,21/05/2018,36,2680
NGET-EMFIP-AGWS-TS-00210343,Wind generation,Wind Onshore,21/05/2018,35,1764.549
NGET-EMFIP-AGWS-TS-00210342,Wind generation,Wind Offshore,21/05/2018,35,1136.846
NGET-EMFIP-AGWS-TS-00210341,Solar generation,Solar,21/05/2018,35,3400
NGET-EMFIP-AGWS-TS-00210340,Wind generation,Wind Onshore,21/05/2018,34,1610.598
NGET-EMFIP-AGWS-TS-00210339,Wind generation,Wind Offshore,21/05/2018,34,1132.586
NGET-EMFIP-AGWS-TS-00210338,Solar generation,Solar,21/05/2018,34,4010
NGET-EMFIP-AGWS-TS-00210337,Wind generation,Wind Onshore,21/05/2018,33,1673.979
NGET-EMFIP-AGWS-TS-00210336,Wind generation,Wind Offshore,21/05/2018,33,976.886
NGET-EMFIP-AGWS-TS-00210335,Solar generation,Solar,21/05/2018,33,4760
NGET-EMFIP-AGWS-TS-00210334,Wind generation,Wind Onshore,21/05/2018,32,1559.85
NGET-EMFIP-AGWS-TS-00210333,Wind generation,Wind Offshore,21/05/2018,32,724.027
NGET-EMFIP-AGWS-TS-00210332,Solar generation,Solar,21/05/2018,32,5370
NGET-EMFIP-AGWS-TS-00210331,Wind generation,Wind Onshore,21/05/2018,31,1542.608
NGET-EMFIP-AGWS-TS-00210330,Wind generation,Wind Offshore,21/05/2018,31,703.411
NGET-EMFIP-AGWS-TS-00210329,Solar generation,Solar,21/05/2018,31,5980
NGET-EMFIP-AGWS-TS-00210328,Wind generation,Wind Onshore,21/05/2018,30,1473.881
NGET-EMFIP-AGWS-TS-00210327,Wind generation,Wind Offshore,21/05/2018,30,652.236
NGET-EMFIP-AGWS-TS-00210326,Solar generation,Solar,21/05/2018,30,6480
NGET-EMFIP-AGWS-TS-00210325,Wind generation,Wind Onshore,21/05/2018,29,1361.476
NGET-EMFIP-AGWS-TS-00210324,Wind generation,Wind Offshore,21/05/2018,29,633.332
NGET-EMFIP-AGWS-TS-00210323,Solar generation,Solar,21/05/2018,29,6870
NGET-EMFIP-AGWS-TS-00210322,Wind generation,Wind Onshore,21/05/2018,28,1388.171
NGET-EMFIP-AGWS-TS-00210321,Wind generation,Wind Offshore,21/05/2018,28,592.466
NGET-EMFIP-AGWS-TS-00210320,Solar generation,Solar,21/05/2018,28,7180
NGET-EMFIP-AGWS-TS-00210319,Wind generation,Wind Onshore,21/05/2018,27,1386.162
NGET-EMFIP-AGWS-TS-00210318,Wind generation,Wind Offshore,21/05/2018,27,615.354
NGET-EMFIP-AGWS-TS-00210317,Solar generation,Solar,21/05/2018,27,7320
NGET-EMFIP-AGWS-TS-00210316,Wind generation,Wind Onshore,21/05/2018,26,1396.082
NGET-EMFIP-AGWS-TS-00210315,Wind generation,Wind Offshore,21/05/2018,26,570.607
NGET-EMFIP-AGWS-TS-00210314,Solar generation,Solar,21/05/2018,26,7460
NGET-EMFIP-AGWS-TS-00210313,Wind generation,Wind Onshore,21/05/2018,25,1441.163
NGET-EMFIP-AGWS-TS-00210312,Wind generation,Wind Offshore,21/05/2018,25,601.268
NGET-EMFIP-AGWS-TS-00210311,Solar generation,Solar,21/05/2018,25,7400
NGET-EMFIP-AGWS-TS-00210310,Wind generation,Wind Onshore,21/05/2018,24,1454.598
NGET-EMFIP-AGWS-TS-00210309,Wind generation,Wind Offshore,21/05/2018,24,551.508
NGET-EMFIP-AGWS-TS-00210308,Solar generation,Solar,21/05/2018,24,7250
NGET-EMFIP-AGWS-TS-00210307,Wind generation,Wind Onshore,21/05/2018,23,1414.747
NGET-EMFIP-AGWS-TS-00210306,Wind generation,Wind Offshore,21/05/2018,23,535.157
NGET-EMFIP-AGWS-TS-00210305,Solar generation,Solar,21/05/2018,23,6920
NGET-EMFIP-AGWS-TS-00210304,Wind generation,Wind Onshore,21/05/2018,22,1369.488
NGET-EMFIP-AGWS-TS-00210303,Wind generation,Wind Offshore,21/05/2018,22,526.971
NGET-EMFIP-AGWS-TS-00210302,Solar generation,Solar,21/05/2018,22,6420
NGET-EMFIP-AGWS-TS-00210301,Wind generation,Wind Onshore,21/05/2018,21,1358.78
NGET-EMFIP-AGWS-TS-00210300,Wind generation,Wind Offshore,21/05/2018,21,441.419
NGET-EMFIP-AGWS-TS-00210299,Solar generation,Solar,21/05/2018,21,5900
NGET-EMFIP-AGWS-TS-00210298,Wind generation,Wind Onshore,21/05/2018,20,1348.273
NGET-EMFIP-AGWS-TS-00210297,Wind generation,Wind Offshore,21/05/2018,20,451.878
NGET-EMFIP-AGWS-TS-00210296,Solar generation,Solar,21/05/2018,20,5330
NGET-EMFIP-AGWS-TS-00210295,Wind generation,Wind Onshore,21/05/2018,19,1289.995
NGET-EMFIP-AGWS-TS-00210294,Wind generation,Wind Offshore,21/05/2018,19,459.952
NGET-EMFIP-AGWS-TS-00210293,Solar generation,Solar,21/05/2018,19,4600
NGET-EMFIP-AGWS-TS-00210295,Wind generation,Wind Onshore,21/05/2018,,1268.994
NGET-EMFIP-AGWS-TS-00210294,Wind generation,Wind Offshore,21/05/2018,,458.488
NGET-EMFIP-AGWS-TS-00210293,Solar generation,Solar,21/05/2018,,3582.5
NGET-EMFIP-AGWS-TS-00210289,Wind generation,Wind Onshore,21/05/2018,17,1247.993
NGET-EMFIP-AGWS-TS-00210288,Wind generation,Wind Offshore,21/05/2018,17,457.024
NGET-EMFIP-AGWS-TS-00210287,Solar generation,Solar,21/05/2018,17,2565
NGET-EMFIP-AGWS-TS-00210286,Wind generation,Wind Onshore,21/05/2018,16,1300.298
NGET-EMFIP-AGWS-TS-00210285,Wind generation,Wind Offshore,21/05/2018,16,463.002
NGET-EMFIP-AGWS-TS-00210284,Solar generation,Solar,21/05/2018,16,2340
NGET-EMFIP-AGWS-TS-00210283,Wind generation,Wind Onshore,21/05/2018,15,1314.99
NGET-EMFIP-AGWS-TS-00210282,Wind generation,Wind Offshore,21/05/2018,15,529.766
NGET-EMFIP-AGWS-TS-00210281,Solar generation,Solar,21/05/2018,15,1670
NGET-EMFIP-AGWS-TS-00210280,Wind generation,Wind Onshore,21/05/2018,14,1376.975
NGET-EMFIP-AGWS-TS-00210279,Wind generation,Wind Offshore,21/05/2018,14,553.679
NGET-EMFIP-AGWS-TS-00210278,Solar generation,Solar,21/05/2018,14,1070
NGET-EMFIP-AGWS-TS-00210277,Wind generation,Wind Onshore,21/05/2018,13,1513.13
NGET-EMFIP-AGWS-TS-00210276,Wind generation,Wind Offshore,21/05/2018,13,531.346
