Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00242541,Wind generation,"Wind Onshore",2018-11-30,48,4487.554
NGET-EMFIP-AGWS-TS-00242540,Wind generation,"Wind Offshore",2018-11-30,48,3016.972
NGET-EMFIP-AGWS-TS-00242539,Solar generation,"Solar",2018-11-30,48,0
NGET-EMFIP-AGWS-TS-00242519,Wind generation,"Wind Onshore",2018-11-30,47,4820.909
NGET-EMFIP-AGWS-TS-00242518,Wind generation,"Wind Offshore",2018-11-30,47,3266.075
NGET-EMFIP-AGWS-TS-00242517,Solar generation,"Solar",2018-11-30,47,0
NGET-EMFIP-AGWS-TS-00242516,Wind generation,"Wind Onshore",2018-11-30,46,5343.395
NGET-EMFIP-AGWS-TS-00242515,Wind generation,"Wind Offshore",2018-11-30,46,3253
NGET-EMFIP-AGWS-TS-00242514,Solar generation,"Solar",2018-11-30,46,0
NGET-EMFIP-AGWS-TS-00242513,Wind generation,"Wind Onshore",2018-11-30,45,5841.77
NGET-EMFIP-AGWS-TS-00242512,Wind generation,"Wind Offshore",2018-11-30,45,3643.127
NGET-EMFIP-AGWS-TS-00242511,Solar generation,"Solar",2018-11-30,45,0
NGET-EMFIP-AGWS-TS-00242510,Wind generation,"Wind Onshore",2018-11-30,44,5745.941
NGET-EMFIP-AGWS-TS-00242509,Wind generation,"Wind Offshore",2018-11-30,44,3587.218
NGET-EMFIP-AGWS-TS-00242508,Solar generation,"Solar",2018-11-30,44,0
NGET-EMFIP-AGWS-TS-00242507,Wind generation,"Wind Onshore",2018-11-30,43,5960.98
NGET-EMFIP-AGWS-TS-00242506,Wind generation,"Wind Offshore",2018-11-30,43,3793.454
NGET-EMFIP-AGWS-TS-00242505,Solar generation,"Solar",2018-11-30,43,0
NGET-EMFIP-AGWS-TS-00242504,Wind generation,"Wind Onshore",2018-11-30,42,6355.068
NGET-EMFIP-AGWS-TS-00242503,Wind generation,"Wind Offshore",2018-11-30,42,3860.321
NGET-EMFIP-AGWS-TS-00242502,Solar generation,"Solar",2018-11-30,42,0
NGET-EMFIP-AGWS-TS-00242501,Wind generation,"Wind Onshore",2018-11-30,41,6264.671
NGET-EMFIP-AGWS-TS-00242500,Wind generation,"Wind Offshore",2018-11-30,41,3929.448
NGET-EMFIP-AGWS-TS-00242499,Solar generation,"Solar",2018-11-30,41,0
NGET-EMFIP-AGWS-TS-00242493,Wind generation,"Wind Onshore",2018-11-30,40,7094.41
NGET-EMFIP-AGWS-TS-00242492,Wind generation,"Wind Offshore",2018-11-30,40,4046.393
NGET-EMFIP-AGWS-TS-00242491,Solar generation,"Solar",2018-11-30,40,0
NGET-EMFIP-AGWS-TS-00242490,Wind generation,"Wind Onshore",2018-11-30,39,7137.275
NGET-EMFIP-AGWS-TS-00242489,Wind generation,"Wind Offshore",2018-11-30,39,4039.846
NGET-EMFIP-AGWS-TS-00242488,Solar generation,"Solar",2018-11-30,39,0
NGET-EMFIP-AGWS-TS-00242487,Wind generation,"Wind Onshore",2018-11-30,38,6982.5
NGET-EMFIP-AGWS-TS-00242486,Wind generation,"Wind Offshore",2018-11-30,38,3873.108
NGET-EMFIP-AGWS-TS-00242485,Solar generation,"Solar",2018-11-30,38,1
NGET-EMFIP-AGWS-TS-00242484,Wind generation,"Wind Onshore",2018-11-30,37,7010.439
NGET-EMFIP-AGWS-TS-00242483,Wind generation,"Wind Offshore",2018-11-30,37,3973.334
