Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00235507,Wind generation,Wind Onshore,19/10/2018,48,1222.849
NGET-EMFIP-AGWS-TS-00235506,Wind generation,Wind Offshore,19/10/2018,48,692.976
NGET-EMFIP-AGWS-TS-00235505,Solar generation,Solar,19/10/2018,48,0
NGET-EMFIP-AGWS-TS-00235504,Wind generation,Wind Onshore,19/10/2018,47,1110.249
NGET-EMFIP-AGWS-TS-00235503,Wind generation,Wind Offshore,19/10/2018,47,686.994
NGET-EMFIP-AGWS-TS-00235502,Solar generation,Solar,19/10/2018,47,0
NGET-EMFIP-AGWS-TS-00235501,Wind generation,Wind Onshore,19/10/2018,46,1040.973
NGET-EMFIP-AGWS-TS-00235500,Wind generation,Wind Offshore,19/10/2018,46,710.64
NGET-EMFIP-AGWS-TS-00235499,Solar generation,Solar,19/10/2018,46,0
NGET-EMFIP-AGWS-TS-00235482,Wind generation,Wind Onshore,19/10/2018,45,1091.411
NGET-EMFIP-AGWS-TS-00235481,Wind generation,Wind Offshore,19/10/2018,45,702.248
NGET-EMFIP-AGWS-TS-00235480,Solar generation,Solar,19/10/2018,45,0
NGET-EMFIP-AGWS-TS-00235479,Wind generation,Wind Onshore,19/10/2018,44,1110.176
NGET-EMFIP-AGWS-TS-00235478,Wind generation,Wind Offshore,19/10/2018,44,704.43
NGET-EMFIP-AGWS-TS-00235477,Solar generation,Solar,19/10/2018,44,0
NGET-EMFIP-AGWS-TS-00235476,Wind generation,Wind Onshore,19/10/2018,43,1122.441
NGET-EMFIP-AGWS-TS-00235475,Wind generation,Wind Offshore,19/10/2018,43,765.527
NGET-EMFIP-AGWS-TS-00235474,Solar generation,Solar,19/10/2018,43,3
NGET-EMFIP-AGWS-TS-00235473,Wind generation,Wind Onshore,19/10/2018,42,1010.067
NGET-EMFIP-AGWS-TS-00235472,Wind generation,Wind Offshore,19/10/2018,42,752.368
NGET-EMFIP-AGWS-TS-00235471,Solar generation,Solar,19/10/2018,42,2
NGET-EMFIP-AGWS-TS-00235470,Wind generation,Wind Onshore,19/10/2018,41,943.336
NGET-EMFIP-AGWS-TS-00235469,Wind generation,Wind Offshore,19/10/2018,41,692.677
NGET-EMFIP-AGWS-TS-00235468,Solar generation,Solar,19/10/2018,41,4
NGET-EMFIP-AGWS-TS-00235467,Wind generation,Wind Onshore,19/10/2018,40,1032.056
NGET-EMFIP-AGWS-TS-00235466,Wind generation,Wind Offshore,19/10/2018,40,722.172
NGET-EMFIP-AGWS-TS-00235465,Solar generation,Solar,19/10/2018,40,5
NGET-EMFIP-AGWS-TS-00235464,Wind generation,Wind Onshore,19/10/2018,39,1121.54
NGET-EMFIP-AGWS-TS-00235463,Wind generation,Wind Offshore,19/10/2018,39,757.717
NGET-EMFIP-AGWS-TS-00235462,Solar generation,Solar,19/10/2018,39,4
NGET-EMFIP-AGWS-TS-00235461,Wind generation,Wind Onshore,19/10/2018,38,1441.326
NGET-EMFIP-AGWS-TS-00235460,Wind generation,Wind Offshore,19/10/2018,38,710.113
NGET-EMFIP-AGWS-TS-00235459,Solar generation,Solar,19/10/2018,38,9
NGET-EMFIP-AGWS-TS-00235458,Wind generation,Wind Onshore,19/10/2018,37,1553.029
NGET-EMFIP-AGWS-TS-00235457,Wind generation,Wind Offshore,19/10/2018,37,707.774
NGET-EMFIP-AGWS-TS-00235456,Solar generation,Solar,19/10/2018,37,8
NGET-EMFIP-AGWS-TS-00235455,Wind generation,Wind Onshore,19/10/2018,36,1978.599
NGET-EMFIP-AGWS-TS-00235454,Wind generation,Wind Offshore,19/10/2018,36,728.95
NGET-EMFIP-AGWS-TS-00235453,Solar generation,Solar,19/10/2018,36,71
NGET-EMFIP-AGWS-TS-00235452,Wind generation,Wind Onshore,19/10/2018,35,2282.632
NGET-EMFIP-AGWS-TS-00235451,Wind generation,Wind Offshore,19/10/2018,35,767.476
NGET-EMFIP-AGWS-TS-00235450,Solar generation,Solar,19/10/2018,35,651
NGET-EMFIP-AGWS-TS-00235449,Wind generation,Wind Onshore,19/10/2018,34,2791.601
NGET-EMFIP-AGWS-TS-00235448,Wind generation,Wind Offshore,19/10/2018,34,746.247
NGET-EMFIP-AGWS-TS-00235447,Solar generation,Solar,19/10/2018,34,1480
NGET-EMFIP-AGWS-TS-00235446,Wind generation,Wind Onshore,19/10/2018,33,3145.098
NGET-EMFIP-AGWS-TS-00235445,Wind generation,Wind Offshore,19/10/2018,33,846.63
NGET-EMFIP-AGWS-TS-00235444,Solar generation,Solar,19/10/2018,33,2260
NGET-EMFIP-AGWS-TS-00235443,Wind generation,Wind Onshore,19/10/2018,32,3330.367
NGET-EMFIP-AGWS-TS-00235442,Wind generation,Wind Offshore,19/10/2018,32,840.557
NGET-EMFIP-AGWS-TS-00235441,Solar generation,Solar,19/10/2018,32,3060
NGET-EMFIP-AGWS-TS-00235440,Wind generation,Wind Onshore,19/10/2018,31,3409.154
NGET-EMFIP-AGWS-TS-00235439,Wind generation,Wind Offshore,19/10/2018,31,823.243
NGET-EMFIP-AGWS-TS-00235438,Solar generation,Solar,19/10/2018,31,3650
NGET-EMFIP-AGWS-TS-00235437,Wind generation,Wind Onshore,19/10/2018,30,3739.899
NGET-EMFIP-AGWS-TS-00235436,Wind generation,Wind Offshore,19/10/2018,30,865.945
NGET-EMFIP-AGWS-TS-00235435,Solar generation,Solar,19/10/2018,30,4130
NGET-EMFIP-AGWS-TS-00235434,Wind generation,Wind Onshore,19/10/2018,29,3685.553
NGET-EMFIP-AGWS-TS-00235433,Wind generation,Wind Offshore,19/10/2018,29,820.338
NGET-EMFIP-AGWS-TS-00235432,Solar generation,Solar,19/10/2018,29,4710
NGET-EMFIP-AGWS-TS-00235431,Wind generation,Wind Onshore,19/10/2018,28,3663.677
NGET-EMFIP-AGWS-TS-00235430,Wind generation,Wind Offshore,19/10/2018,28,796.036
NGET-EMFIP-AGWS-TS-00235429,Solar generation,Solar,19/10/2018,28,5240
NGET-EMFIP-AGWS-TS-00235428,Wind generation,Wind Onshore,19/10/2018,27,3555.03
NGET-EMFIP-AGWS-TS-00235427,Wind generation,Wind Offshore,19/10/2018,27,851.836
