Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00235667,Wind generation,"Wind Onshore",2018-10-20,48,3100.37
NGET-EMFIP-AGWS-TS-00235666,Wind generation,"Wind Offshore",2018-10-20,48,1213.776
NGET-EMFIP-AGWS-TS-00235665,Solar generation,"Solar",2018-10-20,48,0
NGET-EMFIP-AGWS-TS-00235664,Wind generation,"Wind Onshore",2018-10-20,47,2976.131
NGET-EMFIP-AGWS-TS-00235663,Wind generation,"Wind Offshore",2018-10-20,47,1272.055
NGET-EMFIP-AGWS-TS-00235662,Solar generation,"Solar",2018-10-20,47,0
NGET-EMFIP-AGWS-TS-00235661,Wind generation,"Wind Onshore",2018-10-20,46,3173.445
NGET-EMFIP-AGWS-TS-00235660,Wind generation,"Wind Offshore",2018-10-20,46,1146.14
NGET-EMFIP-AGWS-TS-00235659,Solar generation,"Solar",2018-10-20,46,0
NGET-EMFIP-AGWS-TS-00235658,Wind generation,"Wind Onshore",2018-10-20,45,3310.529
NGET-EMFIP-AGWS-TS-00235657,Wind generation,"Wind Offshore",2018-10-20,45,1167.482
NGET-EMFIP-AGWS-TS-00235656,Solar generation,"Solar",2018-10-20,45,0
NGET-EMFIP-AGWS-TS-00235655,Wind generation,"Wind Onshore",2018-10-20,44,3394.577
NGET-EMFIP-AGWS-TS-00235654,Wind generation,"Wind Offshore",2018-10-20,44,1167.956
NGET-EMFIP-AGWS-TS-00235653,Solar generation,"Solar",2018-10-20,44,0
NGET-EMFIP-AGWS-TS-00235652,Wind generation,"Wind Onshore",2018-10-20,43,3311.295
NGET-EMFIP-AGWS-TS-00235651,Wind generation,"Wind Offshore",2018-10-20,43,1132.125
NGET-EMFIP-AGWS-TS-00235650,Solar generation,"Solar",2018-10-20,43,2
NGET-EMFIP-AGWS-TS-00235649,Wind generation,"Wind Onshore",2018-10-20,42,3321.164
NGET-EMFIP-AGWS-TS-00235648,Wind generation,"Wind Offshore",2018-10-20,42,1147.084
NGET-EMFIP-AGWS-TS-00235647,Solar generation,"Solar",2018-10-20,42,3
NGET-EMFIP-AGWS-TS-00235646,Wind generation,"Wind Onshore",2018-10-20,41,3144.345
NGET-EMFIP-AGWS-TS-00235645,Wind generation,"Wind Offshore",2018-10-20,41,1154.822
NGET-EMFIP-AGWS-TS-00235644,Solar generation,"Solar",2018-10-20,41,2
NGET-EMFIP-AGWS-TS-00235643,Wind generation,"Wind Onshore",2018-10-20,40,3147.259
NGET-EMFIP-AGWS-TS-00235642,Wind generation,"Wind Offshore",2018-10-20,40,1133.585
NGET-EMFIP-AGWS-TS-00235641,Solar generation,"Solar",2018-10-20,40,4
NGET-EMFIP-AGWS-TS-00235640,Wind generation,"Wind Onshore",2018-10-20,39,3080.332
NGET-EMFIP-AGWS-TS-00235639,Wind generation,"Wind Offshore",2018-10-20,39,1083.49
NGET-EMFIP-AGWS-TS-00235638,Solar generation,"Solar",2018-10-20,39,4
NGET-EMFIP-AGWS-TS-00235637,Wind generation,"Wind Onshore",2018-10-20,38,2996.42
NGET-EMFIP-AGWS-TS-00235636,Wind generation,"Wind Offshore",2018-10-20,38,1041.131
