Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00236298,Wind generation,"Wind Onshore",2018-10-24,48,5612.431
NGET-EMFIP-AGWS-TS-00236297,Wind generation,"Wind Offshore",2018-10-24,48,2428.778
NGET-EMFIP-AGWS-TS-00236296,Solar generation,"Solar",2018-10-24,48,0
NGET-EMFIP-AGWS-TS-00236295,Wind generation,"Wind Onshore",2018-10-24,47,5682.69
NGET-EMFIP-AGWS-TS-00236294,Wind generation,"Wind Offshore",2018-10-24,47,2595.5
NGET-EMFIP-AGWS-TS-00236293,Solar generation,"Solar",2018-10-24,47,0
NGET-EMFIP-AGWS-TS-00236292,Wind generation,"Wind Onshore",2018-10-24,46,5793.092
NGET-EMFIP-AGWS-TS-00236291,Wind generation,"Wind Offshore",2018-10-24,46,2603.882
NGET-EMFIP-AGWS-TS-00236290,Solar generation,"Solar",2018-10-24,46,0
NGET-EMFIP-AGWS-TS-00236289,Wind generation,"Wind Onshore",2018-10-24,45,5733.069
NGET-EMFIP-AGWS-TS-00236288,Wind generation,"Wind Offshore",2018-10-24,45,2424.301
NGET-EMFIP-AGWS-TS-00236287,Solar generation,"Solar",2018-10-24,45,0
NGET-EMFIP-AGWS-TS-00236286,Wind generation,"Wind Onshore",2018-10-24,44,5561.772
NGET-EMFIP-AGWS-TS-00236285,Wind generation,"Wind Offshore",2018-10-24,44,2291.081
NGET-EMFIP-AGWS-TS-00236284,Solar generation,"Solar",2018-10-24,44,0
NGET-EMFIP-AGWS-TS-00236283,Wind generation,"Wind Onshore",2018-10-24,43,5665.423
NGET-EMFIP-AGWS-TS-00236282,Wind generation,"Wind Offshore",2018-10-24,43,2123.746
NGET-EMFIP-AGWS-TS-00236281,Solar generation,"Solar",2018-10-24,43,1
NGET-EMFIP-AGWS-TS-00236280,Wind generation,"Wind Onshore",2018-10-24,42,5776.627
NGET-EMFIP-AGWS-TS-00236279,Wind generation,"Wind Offshore",2018-10-24,42,2200.044
NGET-EMFIP-AGWS-TS-00236278,Solar generation,"Solar",2018-10-24,42,1
NGET-EMFIP-AGWS-TS-00236277,Wind generation,"Wind Onshore",2018-10-24,41,5827.686
NGET-EMFIP-AGWS-TS-00236276,Wind generation,"Wind Offshore",2018-10-24,41,2026.874
NGET-EMFIP-AGWS-TS-00236275,Solar generation,"Solar",2018-10-24,41,2
NGET-EMFIP-AGWS-TS-00236274,Wind generation,"Wind Onshore",2018-10-24,40,5780.398
NGET-EMFIP-AGWS-TS-00236273,Wind generation,"Wind Offshore",2018-10-24,40,1962.431
NGET-EMFIP-AGWS-TS-00236272,Solar generation,"Solar",2018-10-24,40,4
NGET-EMFIP-AGWS-TS-00236271,Wind generation,"Wind Onshore",2018-10-24,39,5863.972
NGET-EMFIP-AGWS-TS-00236270,Wind generation,"Wind Offshore",2018-10-24,39,1765.684
NGET-EMFIP-AGWS-TS-00236269,Solar generation,"Solar",2018-10-24,39,3
NGET-EMFIP-AGWS-TS-00236268,Wind generation,"Wind Onshore",2018-10-24,38,5882.389
NGET-EMFIP-AGWS-TS-00236267,Wind generation,"Wind Offshore",2018-10-24,38,1549.064
NGET-EMFIP-AGWS-TS-00236266,Solar generation,"Solar",2018-10-24,38,6
