Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00232576,Wind generation,"Wind Onshore",2018-10-01,48,3953.904
NGET-EMFIP-AGWS-TS-00232575,Wind generation,"Wind Offshore",2018-10-01,48,2046.915
NGET-EMFIP-AGWS-TS-00232574,Solar generation,"Solar",2018-10-01,48,0
NGET-EMFIP-AGWS-TS-00232573,Wind generation,"Wind Onshore",2018-10-01,47,3825.676
NGET-EMFIP-AGWS-TS-00232572,Wind generation,"Wind Offshore",2018-10-01,47,1906.731
NGET-EMFIP-AGWS-TS-00232571,Solar generation,"Solar",2018-10-01,47,0
NGET-EMFIP-AGWS-TS-00232570,Wind generation,"Wind Onshore",2018-10-01,46,3742.57
NGET-EMFIP-AGWS-TS-00232569,Wind generation,"Wind Offshore",2018-10-01,46,1946.675
NGET-EMFIP-AGWS-TS-00232568,Solar generation,"Solar",2018-10-01,46,0
NGET-EMFIP-AGWS-TS-00232567,Wind generation,"Wind Onshore",2018-10-01,45,3828.13
NGET-EMFIP-AGWS-TS-00232566,Wind generation,"Wind Offshore",2018-10-01,45,2258.953
NGET-EMFIP-AGWS-TS-00232565,Solar generation,"Solar",2018-10-01,45,0
NGET-EMFIP-AGWS-TS-00232564,Wind generation,"Wind Onshore",2018-10-01,44,4007.655
NGET-EMFIP-AGWS-TS-00232563,Wind generation,"Wind Offshore",2018-10-01,44,2307.288
NGET-EMFIP-AGWS-TS-00232562,Solar generation,"Solar",2018-10-01,44,1
NGET-EMFIP-AGWS-TS-00232561,Wind generation,"Wind Onshore",2018-10-01,43,4259.182
NGET-EMFIP-AGWS-TS-00232560,Wind generation,"Wind Offshore",2018-10-01,43,2096.924
NGET-EMFIP-AGWS-TS-00232559,Solar generation,"Solar",2018-10-01,43,1
NGET-EMFIP-AGWS-TS-00232558,Wind generation,"Wind Onshore",2018-10-01,42,4255.471
NGET-EMFIP-AGWS-TS-00232557,Wind generation,"Wind Offshore",2018-10-01,42,1942.648
NGET-EMFIP-AGWS-TS-00232556,Solar generation,"Solar",2018-10-01,42,1
NGET-EMFIP-AGWS-TS-00232555,Wind generation,"Wind Onshore",2018-10-01,41,4081.547
NGET-EMFIP-AGWS-TS-00232554,Wind generation,"Wind Offshore",2018-10-01,41,2155.25
NGET-EMFIP-AGWS-TS-00232553,Solar generation,"Solar",2018-10-01,41,2
NGET-EMFIP-AGWS-TS-00232552,Wind generation,"Wind Onshore",2018-10-01,40,4358.458
NGET-EMFIP-AGWS-TS-00232551,Wind generation,"Wind Offshore",2018-10-01,40,2023.786
NGET-EMFIP-AGWS-TS-00232550,Solar generation,"Solar",2018-10-01,40,6
NGET-EMFIP-AGWS-TS-00232549,Wind generation,"Wind Onshore",2018-10-01,39,4471.647
