Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00227758,Wind generation,"Wind Onshore",2018-09-02,48,1125.308
NGET-EMFIP-AGWS-TS-00227757,Wind generation,"Wind Offshore",2018-09-02,48,722.766
NGET-EMFIP-AGWS-TS-00227756,Solar generation,"Solar",2018-09-02,48,0
NGET-EMFIP-AGWS-TS-00227755,Wind generation,"Wind Onshore",2018-09-02,47,1131.403
NGET-EMFIP-AGWS-TS-00227754,Wind generation,"Wind Offshore",2018-09-02,47,801.945
NGET-EMFIP-AGWS-TS-00227753,Solar generation,"Solar",2018-09-02,47,0
NGET-EMFIP-AGWS-TS-00227752,Wind generation,"Wind Onshore",2018-09-02,46,1420.28
NGET-EMFIP-AGWS-TS-00227751,Wind generation,"Wind Offshore",2018-09-02,46,837.036
NGET-EMFIP-AGWS-TS-00227750,Solar generation,"Solar",2018-09-02,46,0
NGET-EMFIP-AGWS-TS-00227749,Wind generation,"Wind Onshore",2018-09-02,45,1510.084
NGET-EMFIP-AGWS-TS-00227748,Wind generation,"Wind Offshore",2018-09-02,45,884.058
NGET-EMFIP-AGWS-TS-00227747,Solar generation,"Solar",2018-09-02,45,0
NGET-EMFIP-AGWS-TS-00227746,Wind generation,"Wind Onshore",2018-09-02,44,1641.672
NGET-EMFIP-AGWS-TS-00227745,Wind generation,"Wind Offshore",2018-09-02,44,954.948
NGET-EMFIP-AGWS-TS-00227744,Solar generation,"Solar",2018-09-02,44,1
NGET-EMFIP-AGWS-TS-00227743,Wind generation,"Wind Onshore",2018-09-02,43,1665.137
NGET-EMFIP-AGWS-TS-00227742,Wind generation,"Wind Offshore",2018-09-02,43,1070.827
NGET-EMFIP-AGWS-TS-00227741,Solar generation,"Solar",2018-09-02,43,1
NGET-EMFIP-AGWS-TS-00227740,Wind generation,"Wind Onshore",2018-09-02,42,1719.288
NGET-EMFIP-AGWS-TS-00227739,Wind generation,"Wind Offshore",2018-09-02,42,1119.592
NGET-EMFIP-AGWS-TS-00227738,Solar generation,"Solar",2018-09-02,42,0
NGET-EMFIP-AGWS-TS-00227737,Wind generation,"Wind Onshore",2018-09-02,41,1935.028
NGET-EMFIP-AGWS-TS-00227736,Wind generation,"Wind Offshore",2018-09-02,41,1173.862
NGET-EMFIP-AGWS-TS-00227735,Solar generation,"Solar",2018-09-02,41,2
NGET-EMFIP-AGWS-TS-00227734,Wind generation,"Wind Onshore",2018-09-02,40,2207.961
NGET-EMFIP-AGWS-TS-00227733,Wind generation,"Wind Offshore",2018-09-02,40,1246.184
NGET-EMFIP-AGWS-TS-00227732,Solar generation,"Solar",2018-09-02,40,9
NGET-EMFIP-AGWS-TS-00227731,Wind generation,"Wind Onshore",2018-09-02,39,2374.65
NGET-EMFIP-AGWS-TS-00227730,Wind generation,"Wind Offshore",2018-09-02,39,1383.117
NGET-EMFIP-AGWS-TS-00227729,Solar generation,"Solar",2018-09-02,39,153
NGET-EMFIP-AGWS-TS-00227728,Wind generation,"Wind Onshore",2018-09-02,38,2637.328
NGET-EMFIP-AGWS-TS-00227727,Wind generation,"Wind Offshore",2018-09-02,38,1455.969
NGET-EMFIP-AGWS-TS-00227726,Solar generation,"Solar",2018-09-02,38,515
NGET-EMFIP-AGWS-TS-00227725,Wind generation,"Wind Onshore",2018-09-02,37,2891.249
NGET-EMFIP-AGWS-TS-00227724,Wind generation,"Wind Offshore",2018-09-02,37,1473.245
