Actual Or Estimated Wind And Solar Power Generation (B1630)
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00229510,Wind generation,"Wind Onshore",2018-09-12,48,3269.631
NGET-EMFIP-AGWS-TS-00229509,Wind generation,"Wind Offshore",2018-09-12,48,1702.265
NGET-EMFIP-AGWS-TS-00229508,Solar generation,"Solar",2018-09-12,48,0
NGET-EMFIP-AGWS-TS-00229507,Wind generation,"Wind Onshore",2018-09-12,47,3298.739
NGET-EMFIP-AGWS-TS-00229506,Wind generation,"Wind Offshore",2018-09-12,47,1741.657
NGET-EMFIP-AGWS-TS-00229505,Solar generation,"Solar",2018-09-12,47,0
NGET-EMFIP-AGWS-TS-00229504,Wind generation,"Wind Onshore",2018-09-12,46,3063.258
NGET-EMFIP-AGWS-TS-00229503,Wind generation,"Wind Offshore",2018-09-12,46,1750.354
NGET-EMFIP-AGWS-TS-00229502,Solar generation,"Solar",2018-09-12,46,0
NGET-EMFIP-AGWS-TS-00229501,Wind generation,"Wind Onshore",2018-09-12,45,2946.164
NGET-EMFIP-AGWS-TS-00229500,Wind generation,"Wind Offshore",2018-09-12,45,1683.205
NGET-EMFIP-AGWS-TS-00229499,Solar generation,"Solar",2018-09-12,45,0
NGET-EMFIP-AGWS-TS-00229496,Wind generation,"Wind Onshore",2018-09-12,44,2743.2
NGET-EMFIP-AGWS-TS-00229495,Wind generation,"Wind Offshore",2018-09-12,44,1420
NGET-EMFIP-AGWS-TS-00229494,Solar generation,"Solar",2018-09-12,44,0
NGET-EMFIP-AGWS-TS-00229493,Wind generation,"Wind Onshore",2018-09-12,43,2572.987
NGET-EMFIP-AGWS-TS-00229492,Wind generation,"Wind Offshore",2018-09-12,43,1349.006
NGET-EMFIP-AGWS-TS-00229491,Solar generation,"Solar",2018-09-12,43,0
NGET-EMFIP-AGWS-TS-00229490,Wind generation,"Wind Onshore",2018-09-12,42,2618.258
NGET-EMFIP-AGWS-TS-00229489,Wind generation,"Wind Offshore",2018-09-12,42,1306.52
NGET-EMFIP-AGWS-TS-00229488,Solar generation,"Solar",2018-09-12,42,0
NGET-EMFIP-AGWS-TS-00229487,Wind generation,"Wind Onshore",2018-09-12,41,2525.115
NGET-EMFIP-AGWS-TS-00229486,Wind generation,"Wind Offshore",2018-09-12,41,1171.113
NGET-EMFIP-AGWS-TS-00229485,Solar generation,"Solar",2018-09-12,41,124
NGET-EMFIP-AGWS-TS-00229484,Wind generation,"Wind Onshore",2018-09-12,40,2573.164
NGET-EMFIP-AGWS-TS-00229483,Wind generation,"Wind Offshore",2018-09-12,40,926.05
NGET-EMFIP-AGWS-TS-00229482,Solar generation,"Solar",2018-09-12,40,124
NGET-EMFIP-AGWS-TS-00229481,Wind generation,"Wind Onshore",2018-09-12,39,2436.558
NGET-EMFIP-AGWS-TS-00229480,Wind generation,"Wind Offshore",2018-09-12,39,833.419
NGET-EMFIP-AGWS-TS-00229479,Solar generation,"Solar",2018-09-12,39,668
NGET-EMFIP-AGWS-TS-00229478,Wind generation,"Wind Onshore",2018-09-12,38,2706.891
NGET-EMFIP-AGWS-TS-00229477,Wind generation,"Wind Offshore",2018-09-12,38,780.666
NGET-EMFIP-AGWS-TS-00229476,Solar generation,"Solar",2018-09-12,38,668
NGET-EMFIP-AGWS-TS-00229475,Wind generation,"Wind Onshore",2018-09-12,37,2961.405
NGET-EMFIP-AGWS-TS-00229474,Wind generation,"Wind Offshore",2018-09-12,37,774.142
NGET-EMFIP-AGWS-TS-00229473,Solar generation,"Solar",2018-09-12,37,1504
NGET-EMFIP-AGWS-TS-00229472,Wind generation,"Wind Onshore",2018-09-12,36,3413.983
NGET-EMFIP-AGWS-TS-00229471,Wind generation,"Wind Offshore",2018-09-12,36,877.725
NGET-EMFIP-AGWS-TS-00229470,Solar generation,"Solar",2018-09-12,36,1504
NGET-EMFIP-AGWS-TS-00229469,Wind generation,"Wind Onshore",2018-09-12,35,3715.491
NGET-EMFIP-AGWS-TS-00229468,Wind generation,"Wind Offshore",2018-09-12,35,900.524
NGET-EMFIP-AGWS-TS-00229467,Solar generation,"Solar",2018-09-12,35,2293
NGET-EMFIP-AGWS-TS-00229466,Wind generation,"Wind Onshore",2018-09-12,34,3862.822
NGET-EMFIP-AGWS-TS-00229465,Wind generation,"Wind Offshore",2018-09-12,34,967.575
NGET-EMFIP-AGWS-TS-00229464,Solar generation,"Solar",2018-09-12,34,2293
NGET-EMFIP-AGWS-TS-00229463,Wind generation,"Wind Onshore",2018-09-12,33,3999.728
NGET-EMFIP-AGWS-TS-00229462,Wind generation,"Wind Offshore",2018-09-12,33,1032.119
NGET-EMFIP-AGWS-TS-00229461,Solar generation,"Solar",2018-09-12,33,2957
NGET-EMFIP-AGWS-TS-00229460,Wind generation,"Wind Onshore",2018-09-12,32,4111.783
NGET-EMFIP-AGWS-TS-00229459,Wind generation,"Wind Offshore",2018-09-12,32,1073.771
NGET-EMFIP-AGWS-TS-00229458,Solar generation,"Solar",2018-09-12,32,2957
NGET-EMFIP-AGWS-TS-00229457,Wind generation,"Wind Onshore",2018-09-12,31,4040.834
NGET-EMFIP-AGWS-TS-00229456,Wind generation,"Wind Offshore",2018-09-12,31,1097.756
NGET-EMFIP-AGWS-TS-00229455,Solar generation,"Solar",2018-09-12,31,3268
NGET-EMFIP-AGWS-TS-00229454,Wind generation,"Wind Onshore",2018-09-12,30,4337.74
NGET-EMFIP-AGWS-TS-00229453,Wind generation,"Wind Offshore",2018-09-12,30,1139.548
NGET-EMFIP-AGWS-TS-00229452,Solar generation,"Solar",2018-09-12,30,3268
NGET-EMFIP-AGWS-TS-00229451,Wind generation,"Wind Onshore",2018-09-12,29,4134.466
NGET-EMFIP-AGWS-TS-00229450,Wind generation,"Wind Offshore",2018-09-12,29,1176.044
NGET-EMFIP-AGWS-TS-00229449,Solar generation,"Solar",2018-09-12,29,3252
NGET-EMFIP-AGWS-TS-00229448,Wind generation,"Wind Onshore",2018-09-12,28,4490.495
NGET-EMFIP-AGWS-TS-00229447,Wind generation,"Wind Offshore",2018-09-12,28,1241.622
NGET-EMFIP-AGWS-TS-00229446,Solar generation,"Solar",2018-09-12,28,4160
NGET-EMFIP-AGWS-TS-00229445,Wind generation,"Wind Onshore",2018-09-12,27,4696.266
NGET-EMFIP-AGWS-TS-00229444,Wind generation,"Wind Offshore",2018-09-12,27,1310.35
NGET-EMFIP-AGWS-TS-00229443,Solar generation,"Solar",2018-09-12,27,4080
NGET-EMFIP-AGWS-TS-00229442,Wind generation,"Wind Onshore",2018-09-12,26,4619.72
NGET-EMFIP-AGWS-TS-00229441,Wind generation,"Wind Offshore",2018-09-12,26,1340.499
NGET-EMFIP-AGWS-TS-00229440,Solar generation,"Solar",2018-09-12,26,4000
NGET-EMFIP-AGWS-TS-00229439,Wind generation,"Wind Onshore",2018-09-12,25,4868.605
NGET-EMFIP-AGWS-TS-00229438,Wind generation,"Wind Offshore",2018-09-12,25,1280.69
NGET-EMFIP-AGWS-TS-00229437,Solar generation,"Solar",2018-09-12,25,3850
NGET-EMFIP-AGWS-TS-00229436,Wind generation,"Wind Onshore",2018-09-12,24,4610.537
NGET-EMFIP-AGWS-TS-00229435,Wind generation,"Wind Offshore",2018-09-12,24,1320.987
NGET-EMFIP-AGWS-TS-00229434,Solar generation,"Solar",2018-09-12,24,3620
NGET-EMFIP-AGWS-TS-00229433,Wind generation,"Wind Onshore",2018-09-12,23,4655.419
NGET-EMFIP-AGWS-TS-00229432,Wind generation,"Wind Offshore",2018-09-12,23,1294.929
NGET-EMFIP-AGWS-TS-00229431,Solar generation,"Solar",2018-09-12,23,3160
NGET-EMFIP-AGWS-TS-00229430,Wind generation,"Wind Onshore",2018-09-12,22,4587.314
NGET-EMFIP-AGWS-TS-00229429,Wind generation,"Wind Offshore",2018-09-12,22,1383.055
NGET-EMFIP-AGWS-TS-00229428,Solar generation,"Solar",2018-09-12,22,2740
NGET-EMFIP-AGWS-TS-00229427,Wind generation,"Wind Onshore",2018-09-12,21,4643.428
NGET-EMFIP-AGWS-TS-00229426,Wind generation,"Wind Offshore",2018-09-12,21,1425.281
NGET-EMFIP-AGWS-TS-00229425,Solar generation,"Solar",2018-09-12,21,1421
