Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00231439,Wind generation,Wind Onshore,24/09/2018,48,1412.988
NGET-EMFIP-AGWS-TS-00231438,Wind generation,Wind Offshore,24/09/2018,48,716.446
NGET-EMFIP-AGWS-TS-00231437,Solar generation,Solar,24/09/2018,48,0
NGET-EMFIP-AGWS-TS-00231436,Wind generation,Wind Onshore,24/09/2018,47,1428.681
NGET-EMFIP-AGWS-TS-00231435,Wind generation,Wind Offshore,24/09/2018,47,677.766
NGET-EMFIP-AGWS-TS-00231434,Solar generation,Solar,24/09/2018,47,0
NGET-EMFIP-AGWS-TS-00231433,Wind generation,Wind Onshore,24/09/2018,46,1448.176
NGET-EMFIP-AGWS-TS-00231432,Wind generation,Wind Offshore,24/09/2018,46,684.885
NGET-EMFIP-AGWS-TS-00231431,Solar generation,Solar,24/09/2018,46,0
NGET-EMFIP-AGWS-TS-00231430,Wind generation,Wind Onshore,24/09/2018,45,1428.527
NGET-EMFIP-AGWS-TS-00231429,Wind generation,Wind Offshore,24/09/2018,45,683.147
NGET-EMFIP-AGWS-TS-00231428,Solar generation,Solar,24/09/2018,45,0
NGET-EMFIP-AGWS-TS-00231427,Wind generation,Wind Onshore,24/09/2018,44,1428.307
NGET-EMFIP-AGWS-TS-00231426,Wind generation,Wind Offshore,24/09/2018,44,626.024
NGET-EMFIP-AGWS-TS-00231425,Solar generation,Solar,24/09/2018,44,3
NGET-EMFIP-AGWS-TS-00231424,Wind generation,Wind Onshore,24/09/2018,43,1383.416
NGET-EMFIP-AGWS-TS-00231423,Wind generation,Wind Offshore,24/09/2018,43,623.047
NGET-EMFIP-AGWS-TS-00231422,Solar generation,Solar,24/09/2018,43,0
NGET-EMFIP-AGWS-TS-00231421,Wind generation,Wind Onshore,24/09/2018,42,1371.328
