Actual Or Estimated Wind And Solar Power Generation (B1630),,,,,
Time Series ID,Business Type,PSR Type,Settlement  Date,Settlement Period,Quantity (MW)
NGET-EMFIP-AGWS-TS-00227591,Wind generation,Wind Onshore,01/09/2018,48,1311.657
NGET-EMFIP-AGWS-TS-00227590,Wind generation,Wind Offshore,01/09/2018,48,1067.884
NGET-EMFIP-AGWS-TS-00227589,Solar generation,Solar,01/09/2018,48,0
NGET-EMFIP-AGWS-TS-00227588,Wind generation,Wind Onshore,01/09/2018,47,1275.636
NGET-EMFIP-AGWS-TS-00227587,Wind generation,Wind Offshore,01/09/2018,47,1064.144
NGET-EMFIP-AGWS-TS-00227586,Solar generation,Solar,01/09/2018,47,0
NGET-EMFIP-AGWS-TS-00227585,Wind generation,Wind Onshore,01/09/2018,46,1155.582
NGET-EMFIP-AGWS-TS-00227584,Wind generation,Wind Offshore,01/09/2018,46,1063.684
NGET-EMFIP-AGWS-TS-00227583,Solar generation,Solar,01/09/2018,46,0
NGET-EMFIP-AGWS-TS-00227582,Wind generation,Wind Onshore,01/09/2018,45,1111.418
NGET-EMFIP-AGWS-TS-00227581,Wind generation,Wind Offshore,01/09/2018,45,1119.486
NGET-EMFIP-AGWS-TS-00227580,Solar generation,Solar,01/09/2018,45,0
NGET-EMFIP-AGWS-TS-00227579,Wind generation,Wind Onshore,01/09/2018,44,1025.062
NGET-EMFIP-AGWS-TS-00227578,Wind generation,Wind Offshore,01/09/2018,44,1127.081
NGET-EMFIP-AGWS-TS-00227577,Solar generation,Solar,01/09/2018,44,3
NGET-EMFIP-AGWS-TS-00227576,Wind generation,Wind Onshore,01/09/2018,43,1010.463
NGET-EMFIP-AGWS-TS-00227575,Wind generation,Wind Offshore,01/09/2018,43,1214.697
NGET-EMFIP-AGWS-TS-00227574,Solar generation,Solar,01/09/2018,43,0
NGET-EMFIP-AGWS-TS-00227573,Wind generation,Wind Onshore,01/09/2018,42,1004.122
NGET-EMFIP-AGWS-TS-00227572,Wind generation,Wind Offshore,01/09/2018,42,1309.245
NGET-EMFIP-AGWS-TS-00227571,Solar generation,Solar,01/09/2018,42,0
NGET-EMFIP-AGWS-TS-00227570,Wind generation,Wind Onshore,01/09/2018,41,1022.568
NGET-EMFIP-AGWS-TS-00227569,Wind generation,Wind Offshore,01/09/2018,41,1278.538
NGET-EMFIP-AGWS-TS-00227568,Solar generation,Solar,01/09/2018,41,2
NGET-EMFIP-AGWS-TS-00227567,Wind generation,Wind Onshore,01/09/2018,40,1013.936
NGET-EMFIP-AGWS-TS-00227566,Wind generation,Wind Offshore,01/09/2018,40,1177.669
NGET-EMFIP-AGWS-TS-00227565,Solar generation,Solar,01/09/2018,40,14
NGET-EMFIP-AGWS-TS-00227564,Wind generation,Wind Onshore,01/09/2018,39,1052.31
NGET-EMFIP-AGWS-TS-00227563,Wind generation,Wind Offshore,01/09/2018,39,1198.455
NGET-EMFIP-AGWS-TS-00227562,Solar generation,Solar,01/09/2018,39,222
NGET-EMFIP-AGWS-TS-00227561,Wind generation,Wind Onshore,01/09/2018,38,1233.067
NGET-EMFIP-AGWS-TS-00227560,Wind generation,Wind Offshore,01/09/2018,38,1238.822
NGET-EMFIP-AGWS-TS-00227559,Solar generation,Solar,01/09/2018,38,657
NGET-EMFIP-AGWS-TS-00227558,Wind generation,Wind Onshore,01/09/2018,37,1281.768
NGET-EMFIP-AGWS-TS-00227557,Wind generation,Wind Offshore,01/09/2018,37,1236.01
NGET-EMFIP-AGWS-TS-00227556,Solar generation,Solar,01/09/2018,37,1220
NGET-EMFIP-AGWS-TS-00227555,Wind generation,Wind Onshore,01/09/2018,36,1439.809
NGET-EMFIP-AGWS-TS-00227554,Wind generation,Wind Offshore,01/09/2018,36,1217.473
NGET-EMFIP-AGWS-TS-00227553,Solar generation,Solar,01/09/2018,36,1920
NGET-EMFIP-AGWS-TS-00227552,Wind generation,Wind Onshore,01/09/2018,35,1512.34
NGET-EMFIP-AGWS-TS-00227551,Wind generation,Wind Offshore,01/09/2018,35,1132.756
NGET-EMFIP-AGWS-TS-00227550,Solar generation,Solar,01/09/2018,35,2650
NGET-EMFIP-AGWS-TS-00227549,Wind generation,Wind Onshore,01/09/2018,34,1612.947
NGET-EMFIP-AGWS-TS-00227548,Wind generation,Wind Offshore,01/09/2018,34,1033.558
NGET-EMFIP-AGWS-TS-00227547,Solar generation,Solar,01/09/2018,34,3380
NGET-EMFIP-AGWS-TS-00227546,Wind generation,Wind Onshore,01/09/2018,33,1662.146
NGET-EMFIP-AGWS-TS-00227545,Wind generation,Wind Offshore,01/09/2018,33,930.816
NGET-EMFIP-AGWS-TS-00227544,Solar generation,Solar,01/09/2018,33,4050
NGET-EMFIP-AGWS-TS-00227543,Wind generation,Wind Onshore,01/09/2018,32,1674.247
NGET-EMFIP-AGWS-TS-00227542,Wind generation,Wind Offshore,01/09/2018,32,865.268
NGET-EMFIP-AGWS-TS-00227541,Solar generation,Solar,01/09/2018,32,4660
NGET-EMFIP-AGWS-TS-00227540,Wind generation,Wind Onshore,01/09/2018,31,1671.69
NGET-EMFIP-AGWS-TS-00227539,Wind generation,Wind Offshore,01/09/2018,31,782.864
NGET-EMFIP-AGWS-TS-00227538,Solar generation,Solar,01/09/2018,31,5190
NGET-EMFIP-AGWS-TS-00227537,Wind generation,Wind Onshore,01/09/2018,30,1725.859
NGET-EMFIP-AGWS-TS-00227536,Wind generation,Wind Offshore,01/09/2018,30,709.752
NGET-EMFIP-AGWS-TS-00227535,Solar generation,Solar,01/09/2018,30,5660
NGET-EMFIP-AGWS-TS-00227534,Wind generation,Wind Onshore,01/09/2018,29,1722.967
NGET-EMFIP-AGWS-TS-00227533,Wind generation,Wind Offshore,01/09/2018,29,644.061
NGET-EMFIP-AGWS-TS-00227532,Solar generation,Solar,01/09/2018,29,5314
NGET-EMFIP-AGWS-TS-00227531,Wind generation,Wind Onshore,01/09/2018,28,1787.138
NGET-EMFIP-AGWS-TS-00227530,Wind generation,Wind Offshore,01/09/2018,28,570.581
NGET-EMFIP-AGWS-TS-00227529,Solar generation,Solar,01/09/2018,28,6280
NGET-EMFIP-AGWS-TS-00227528,Wind generation,Wind Onshore,01/09/2018,27,1719.021
NGET-EMFIP-AGWS-TS-00227527,Wind generation,Wind Offshore,01/09/2018,27,543.18
NGET-EMFIP-AGWS-TS-00227526,Solar generation,Solar,01/09/2018,27,6320
NGET-EMFIP-AGWS-TS-00227525,Wind generation,Wind Onshore,01/09/2018,26,1713.816
NGET-EMFIP-AGWS-TS-00227524,Wind generation,Wind Offshore,01/09/2018,26,531.844
NGET-EMFIP-AGWS-TS-00227523,Solar generation,Solar,01/09/2018,26,6270
NGET-EMFIP-AGWS-TS-00227522,Wind generation,Wind Onshore,01/09/2018,25,1776.714
NGET-EMFIP-AGWS-TS-00227521,Wind generation,Wind Offshore,01/09/2018,25,519.666
NGET-EMFIP-AGWS-TS-00227520,Solar generation,Solar,01/09/2018,25,6080
NGET-EMFIP-AGWS-TS-00227519,Wind generation,Wind Onshore,01/09/2018,24,1796.851
NGET-EMFIP-AGWS-TS-00227518,Wind generation,Wind Offshore,01/09/2018,24,565.813
NGET-EMFIP-AGWS-TS-00227517,Solar generation,Solar,01/09/2018,24,5820
NGET-EMFIP-AGWS-TS-00227516,Wind generation,Wind Onshore,01/09/2018,23,1795.665
NGET-EMFIP-AGWS-TS-00227515,Wind generation,Wind Offshore,01/09/2018,23,570.273
NGET-EMFIP-AGWS-TS-00227514,Solar generation,Solar,01/09/2018,23,5390
NGET-EMFIP-AGWS-TS-00227513,Wind generation,Wind Onshore,01/09/2018,22,1841.803
NGET-EMFIP-AGWS-TS-00227512,Wind generation,Wind Offshore,01/09/2018,22,605.888
NGET-EMFIP-AGWS-TS-00227511,Solar generation,Solar,01/09/2018,22,4760
NGET-EMFIP-AGWS-TS-00227510,Wind generation,Wind Onshore,01/09/2018,21,1898.941
NGET-EMFIP-AGWS-TS-00227509,Wind generation,Wind Offshore,01/09/2018,21,635.251
NGET-EMFIP-AGWS-TS-00227508,Solar generation,Solar,01/09/2018,21,3182
NGET-EMFIP-AGWS-TS-00227507,Wind generation,Wind Onshore,01/09/2018,20,1994.113
NGET-EMFIP-AGWS-TS-00227506,Wind generation,Wind Offshore,01/09/2018,20,641.724
NGET-EMFIP-AGWS-TS-00227505,Solar generation,Solar,01/09/2018,20,3530
NGET-EMFIP-AGWS-TS-00227504,Wind generation,Wind Onshore,01/09/2018,19,2034.696
NGET-EMFIP-AGWS-TS-00227503,Wind generation,Wind Offshore,01/09/2018,19,671.722
NGET-EMFIP-AGWS-TS-00227502,Solar generation,Solar,01/09/2018,19,2860
NGET-EMFIP-AGWS-TS-00227501,Wind generation,Wind Onshore,01/09/2018,18,2135.063
NGET-EMFIP-AGWS-TS-00227500,Wind generation,Wind Offshore,01/09/2018,18,701.971
NGET-EMFIP-AGWS-TS-00227499,Solar generation,Solar,01/09/2018,18,2230
NGET-EMFIP-AGWS-TS-00227492,Wind generation,Wind Onshore,01/09/2018,17,2178.473
NGET-EMFIP-AGWS-TS-00227491,Wind generation,Wind Offshore,01/09/2018,17,699.728
NGET-EMFIP-AGWS-TS-00227490,Solar generation,Solar,01/09/2018,17,1620
NGET-EMFIP-AGWS-TS-00227489,Wind generation,Wind Onshore,01/09/2018,16,2208.777
NGET-EMFIP-AGWS-TS-00227488,Wind generation,Wind Offshore,01/09/2018,16,717.723
NGET-EMFIP-AGWS-TS-00227487,Solar generation,Solar,01/09/2018,16,1030
NGET-EMFIP-AGWS-TS-00227486,Wind generation,Wind Onshore,01/09/2018,15,2225.525
NGET-EMFIP-AGWS-TS-00227485,Wind generation,Wind Offshore,01/09/2018,15,708.844
NGET-EMFIP-AGWS-TS-00227484,Solar generation,Solar,01/09/2018,15,528
