,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
0,Great Glen Scheme,Hydro,8,387,1,36.0,36000,1957,2030
1,Glendoe Hydro Scheme,Hydro,8,388,1,100.0,100000,2008,2049
2,Fasnakyle Hydro Extension,Hydro,8,390,1,7.5,7500,2006,2047
3,Kinlochleven Hydro Power Station,Hydro,8,391,1,19.5,19500,2009,2050
4,Gaur,Hydro,8,393,1,6.4,6400,1953,2030
5,Pitlochry,Hydro,8,394,1,15.0,15000,1950,2030
6,Loch Gair,Hydro,8,395,1,6.0,6000,1961,2030
7,Sron Mor,Hydro,8,396,1,5.0,5000,1957,2030
8,Striven,Hydro,8,397,1,8.0,8000,1951,2030
9,Aigas,Hydro,8,398,1,20.0,20000,1962,2030
10,Kilmorack,Hydro,8,399,1,20.0,20000,1962,2030
11,Orrin,Hydro,8,400,1,18.0,18000,1959,2030
12,Tor Achilty,Hydro,8,401,1,15.0,15000,1954,2030
13,Ceannacroc,Hydro,8,402,1,20.0,20000,1956,2030
14,Foyers Falls,Hydro,8,403,1,5.2,5200,1968,2030
15,Invergarry,Hydro,8,404,1,20.0,20000,1956,2030
16,Livishie,Hydro,8,405,1,15.0,15000,1962,2030
17,Cassley,Hydro,8,406,1,10.0,10000,1959,2030
18,Cashlie,Hydro,8,407,1,11.0,11000,2004,2045
19,Dolgarrog,Hydro,8,4881,1,32.0,32000,1938,2030
20,Cwm Dyli,Hydro,8,4882,1,9.9,9900,2006,2047
21,Kielder,Hydro,8,4883,1,6.1,6100,1982,2023
22,Lochaber,Hydro,8,6601,1,65.0,65000,2029,2070
23,Loch Eilde Mor Hydro (Kinlochleven extension),Hydro,8,410,1,2.0,2000,2017,2058
24,Beeston Weir Hydro Scheme,Hydro,8,414,1,1.7,1700,2000,2041
25,Llyn Brianne Dam,Hydro,8,415,1,4.4,4400,1997,2038
26,Elan Valley Hydro Scheme,Hydro,8,416,1,2.9,2900,1997,2038
27,Turret water treatment works,Hydro,8,419,1,1.9,1900,1952,2030
28,Inverfarigaig,Hydro,8,421,1,4.0,4000,1980,2030
29,Kingairloch,Hydro,8,424,1,3.5,3500,2005,2046
30,Douglas Water Hydro,Hydro,8,425,1,3.0,3000,2008,2049
31,Inverlael Hydro,Hydro,8,426,1,2.5,2500,2009,2050
32,River E Hydro Scheme,Hydro,8,428,1,3.0,3000,2007,2048
33,Innerhadden Burn Hydro,Hydro,8,429,1,1.4,1400,2011,2052
34,Cuileig Hydro Scheme,Hydro,8,434,1,3.3,3300,2002,2043
35,Garrogie Hydro Scheme,Hydro,8,435,1,2.0,2000,2005,2046
36,Inver Hydro,Hydro,8,437,1,2.0,2000,2012,2053
37,Loch An Laoigh Hydro,Hydro,8,438,1,1.0,1000,2017,2058
38,Leacann Hydro,Hydro,8,442,1,1.0,1000,2016,2057
39,Uisge Dubh Hydro,Hydro,8,444,1,2.0,2000,2017,2058
40,Ederline Hydro,Hydro,8,445,1,1.9,1900,2014,2055
41,River Lochy Hydro,Hydro,8,447,1,2.0,2000,2016,2057
42,River Taodail Hydro,Hydro,8,448,1,1.4,1400,2017,2058
43,Donich Water Hydro,Hydro,8,450,1,1.4,1400,2016,2057
