,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
0,Ecotricity,Fen Farm Solar Park,Solar,7,1018,1,1,1000,2011,2036
1,Low carbon Solar Partners,Manor Farm,Solar,7,1019,1,4.7,4700,2011,2036
2,Low carbon Solar Partners,Nanterrow Farm,Solar,7,1020,1,4.7,4700,2011,2036
3,Low carbon Solar Partners,Howton Farm,Solar,7,1021,1,4.4,4400,2011,2036
4,Low carbon Solar Partners,East Langford Farm,Solar,7,1022,1,5,5000,2011,2036
5,The Green Company,Trevemper solar farm,Solar,7,1023,1,1.7,1700,2011,2036
6,Chester Energy (Eastcott),Chester Energy (East Woolley Farm),Solar,7,1024,1,5,5000,2012,2037
7,Low carbon Solar Partners,Chynoweth Farm,Solar,7,1028,1,2.9,2900,2011,2036
8,Private Developer,Carlton Farm Solar farm,Solar,7,1029,1,5,5000,2011,2036
9,35 Degrees,Wheal Jane,Solar,7,1032,1,1.4,1400,2011,2036
10,Innogy (previously - Belectric (previously Alectron Investments Ltd)),Cantelupe Solar Farm,Solar,7,1034,1,5,5000,2013,2038
11,Private Developer,Benbole Farm,Solar,7,1035,1,2,2000,2011,2036
12,Terrence O'Rourke Ltd,Langage Solar Farm,Solar,7,1039,1,5,5000,2011,2036
13,Lark Energy,Grange Solar Farm,Solar,7,1040,1,4.6,4600,2011,2036
14,GKA Limited,Ebbsfleet Farm Solar Farm,Solar,7,1041,1,4.9,4900,2011,2036
15,Rockspring Hanover Property Unit Trust,Westcott Venture Park Phase 2 & 3,Solar,7,1042,1,1.3,1300,2012,2037
16,BNRG Renewables,Summerway Drove,Solar,7,1046,1,2,2000,2011,2036
17,BNRG Renewables,Puriton Solar Farm,Solar,7,1047,1,4.6,4600,2011,2036
18,Bluefield Solar Income Fund ,Toyota Solar Farm,Solar,7,1048,1,4.6,4600,2011,2036
19,Moor Solar,Long Sutton Butterfly And Wildlife Park,Solar,7,1049,1,1.7,1700,2011,2036
20,Moor Solar,Long Sutton Butterfly And Wildlife Park (extension),Solar,7,1050,1,1,1000,2011,2036
21,Greencoat Capital,Springhill Solar Park (Northwick),Solar,7,1053,1,5,5000,2013,2038
22,Private Developer,Westmill Farm - PV,Solar,7,1054,1,5,5000,2011,2036
23,Private Developer,Rhosygilwen Solar Farm,Solar,7,1055,1,1,1000,2011,2036
24,m03 Power,Llancayo Solar Farm,Solar,7,1056,1,3.9,3900,2011,2036
25,Moser Baer,Shacks Barn Solar Farm,Solar,7,1058,1,5,5000,2013,2038
26,Solar Securities Group Ltd,Carines Farm Solar Array,Solar,7,1059,1,1,1000,2013,2038
27,Trigon Solar Farm Ltd,Trigon Solar Farm,Solar,7,1060,1,7,7000,2013,2038
28,Abbey Properties Cambs,Chittering Solar Farm Extension,Solar,7,1062,1,6.3,6300,2013,2038
29,Kronos Solar,Tredinnick Fields,Solar,7,1064,1,5.8,5800,2013,2038
30,Solar Securities Group Ltd,Summercourt Solar Farm (Glebe Farm),Solar,7,1065,1,1.1,1100,2013,2038
31,Smarter Energy Solutions Ltd,Higher Trevartha Farm,Solar,7,1067,1,3,3000,2013,2038
32,AEE Renewables,Beechgrove Farm,Solar,7,1070,1,4,4000,2011,2036
33,Solar Power Generation Limited,PARK WOOD SOLAR FARM,Solar,7,1076,1,5,5000,2011,2036
34,Lightsource Renewable Energy,Promens Solar,Solar,7,1078,1,1.7,1700,2011,2036
35,Sunstroom Energy,Malmesbury Solar,Solar,7,1079,1,5,5000,2011,2036
36,Bosch Solar Energy,Trefullock Solar Farm,Solar,7,1080,1,5,5000,2011,2036
37,Solar South West,Lower Coombe Farm Solar,Solar,7,1081,1,1,1000,2011,2036
38,Kronos Solar/Vogt Solar ,Durrants Farm Solar,Solar,7,1082,1,4.5,4500,2011,2036
39,Dunsfold Park Ltd,Dunsfold Park Solar Farm,Solar,7,1084,1,2,2000,2011,2036
40,Alan Bartlett & Sons Ltd,Alan Bartlett & Sons Solar,Solar,7,1085,1,1.2,1200,2013,2038
41,Hive Energy,Tavells Lane Solar Farm,Solar,7,1086,1,5.3,5300,2013,2038
42,Private Developer,LITTLE TREVEASE SOLAR PARK,Solar,7,1088,1,5.3,5300,2013,2038
43,PS Renewables,Cobbs Cross Solar Park,Solar,7,1089,1,5,5000,2013,2038
44,PS Renewables,NOTTINGTON LANE SOLAR FARM,Solar,7,1090,1,5,5000,2013,2038
45,Orta Solar,RUDGE FARM SOLAR FARM,Solar,7,1091,1,7,7000,2013,2038
46,Sunsave 4 Ltd/ Vogt Solar ,CRINACOTT SOLAR FARM (Pyworthy),Solar,7,1094,1,6.7,6700,2013,2038
47,BNRG Renewables,Chawton Farm Solar Farm,Solar,7,1095,1,3.2,3200,2013,2038
48,BNRG Renewables,VENTNOR ROAD SOLAR PARK,Solar,7,1096,1,4.8,4800,2013,2038
49,Prosolia UK Ltd,ROOKERY FARM SOLAR FARM,Solar,7,1097,1,5.3,5300,2013,2038
50,Little White Alice Ltd,Little White Alice Solar Park,Solar,7,1098,1,1.3,1300,2013,2038
51,,Park Wall Solar Park,Solar,7,1103,1,5,5000,2013,2038
52,Solar Park Developments (Blackrock),Hall Farm Solar park,Solar,7,1108,1,15,15000,2016,2041
53,Solar Century/ Bluefield Solar ,Oulton Airfield Solar Farm (Phase 1),Solar,7,1128,1,5,5000,2016,2041
54,Chalcroft Solar Park,Chalcroft Solar Park,Solar,7,1157,1,6.3,6300,2013,2038
55,Wessex Solar Energy,Bradford Solar Park,Solar,7,1158,1,5.3,5300,2013,2038
56,A H Warren Trust,Lower Coombe Farm (Bean Field),Solar,7,1160,1,1,1000,2012,2037
57,Private Developer,Ffos Las Racecourse,Solar,7,1161,1,5.5,5500,2012,2037
58,Esconrg,Woodforde Farm,Solar,7,1163,1,9,9000,2013,2038
59,BOA Property / AEE Renewables UK,Kingston Farm,Solar,7,1165,1,5,5000,2011,2036
60,Abic,Spriggs Farm,Solar,7,1166,1,12,12000,2013,2038
61,Vale Green Energy,Rotherdale Farm,Solar,7,1169,1,5,5000,2015,2040
62,Abbey Renewables,Turves Solar Farm (Resubmission),Solar,7,1171,1,5,5000,2013,2038
63,Padero Solaer,Rexton Cross,Solar,7,1173,1,2,2000,2013,2038
64,Orta Solar,Hatchlands Farm,Solar,7,1176,1,5.2,5200,2013,2038
65,PS Renewables,Land At Potash Farm,Solar,7,1184,1,7,7000,2013,2038
66,Lightsource Renewable Energy,Land at Upper Clayhill Farm,Solar,7,1198,1,4.9,4900,2015,2040
67,Aquila Capital,Towerbrook Farm (Banwell Solar Farm),Solar,7,1203,1,7.2,7200,2015,2040
68,,Twin Elm Solar Farm,Solar,7,1208,1,1,1000,2012,2037
69,Solar Century/ Bluefield Solar ,Hardingham Solar Farm,Solar,7,1223,1,14.8,14800,2014,2039
70,Lightsource Renewable Energy,Hollamoor Farm (PV),Solar,7,1226,1,2,2000,2013,2038
71,,Langlands Solar Farm,Solar,7,1229,1,2.1,2100,2013,2038
72,Vogt Solar,Langunnett Solar Farm,Solar,7,1230,1,6.2,6200,2013,2038
73,Vogt Solar,Manston Solar Farm,Solar,7,1232,1,9.9,9900,2013,2038
74,Constantine Land Ltd,Marsh House Solar Park,Solar,7,1233,1,5.5,5500,2015,2040
75,Morrisons,Morrisons roof mounted solar,Solar,7,1237,1,2,2000,2013,2038
76,Western Power Distribution,Rickfield Farm solar park,Solar,7,1240,1,1,1000,2014,2039
77,Green Energy UK Direct,Tump Solar Farm,Solar,7,1243,1,5,5000,2017,2042
78,Vogt Solar,West Farm (Solar),Solar,7,1244,1,7.7,7700,2013,2038
79,Anesco (previously AEE Renewables),Owls Lodge Farm,Solar,7,1247,1,5,5000,2013,2038
80,Anesco,Beckley Solar Farm,Solar,7,1252,1,1.7,1700,2012,2037
81,Anesco/Parklands Solar,Oakham Farm,Solar,7,1269,1,8,8000,2016,2041
82,Anesco,Limberlost Farm,Solar,7,1272,1,1.5,1500,2013,2038
83,Anesco,Office Field,Solar,7,1273,1,7.2,7200,2013,2038
84,Anesco,Sandys Moor Road,Solar,7,1274,1,2.9,2900,2013,2038
85,Anesco,Skylark Meadow Solar park,Solar,7,1275,1,5,5000,2013,2038
86,Aldi,Aldi Distribution Centre - Darlington,Solar,7,1278,1,1.2,1200,2014,2039
87,Lightsource Renewable Energy,Bishops Sutton,Solar,7,1282,1,12,12000,2014,2039
88,Maria Bailey Planning,Blackawton Solar Farm,Solar,7,1283,1,3,3000,2014,2039
89,Free Green Energy ,BMW UK Manufacturing Ltd,Solar,7,1284,1,3,3000,2014,2039
90,EBS Energy LLP,Land to the East of Burton Lane,Solar,7,1285,1,2.6,2600,2016,2041
91,Lightsource Renewable Energy,Land west of Hawkspur Green (Hill Hall Solar),Solar,7,1292,1,4.9,4900,2016,2041
92,Kingspan Insulation/ Eneco,Kingspan Insulation Solar Installation,Solar,7,1294,1,5,5000,2014,2039
93,Lark Energy,Langley Hall Farm,Solar,7,1298,1,2.4,2400,2014,2039
94,Lark Energy,Pond Farm,Solar,7,1299,1,3.6,3600,2014,2039
95,AEE Renewables,Nether Mill Farm (resubmission),Solar,7,1303,1,3.1,3100,2014,2039
96,Anesco,NEWNTON DAIRY FARM,Solar,7,1304,1,7.2,7200,2014,2039
97,NextEnergy Capital,Pierces Farm - resubmission,Solar,7,1306,1,1.7,1700,2015,2040
98,Lightsource Renewable Energy,Rew Farm Solar Farm,Solar,7,1308,1,6.1,6100,2014,2039
99,Viridor,Westbury (Closed) Landfill Site,Solar,7,1314,1,3.5,3500,2014,2039
100,Lightsource Renewable Energy,Wiggin Hill Solar Farm - Phase 2,Solar,7,1315,1,4.1,4100,2015,2040
101,Grain Harvesters Ltd,Grain Harvesters Ltd,Solar,7,1320,1,1,1000,2014,2039
102,Lightsource Renewable Energy / Push Energy,Hyde Farm,Solar,7,1322,1,10.8,10800,2014,2039
103,Lightsource Renewable Energy,St Francis Farm,Solar,7,1324,1,4,4000,2015,2040
104,Solafields U/Bishop's Waltham Renewables Ltd,Bishop?s Waltham Solar Farm,Solar,7,1325,1,12,12000,2017,2042
105,Equitix,Nova Scotia Farm solar park,Solar,7,1328,1,13.9,13900,2014,2039
106,TGC Renewables,"Hall Farm, East Beckham",Solar,7,1329,1,10.2,10200,2014,2039
107,Wessex Solar Energy,Cefn Betingau Farm,Solar,7,1330,1,9,9000,2014,2039
108,Hill Farm Solar Park Limited,Hill Farm Solar Park (VoWH),Solar,7,1331,1,14.8,14800,2014,2039
109,Sunsave 25 (Wix Lodge Farm) Limited/ Vogt Solar,Wix Lodge,Solar,7,1332,1,18.7,18700,2014,2039
110,Solar Century/ Bluefield Solar ,Saxley Farm,Solar,7,1333,1,5,5000,2014,2039
111,Foresight,Snarlton Farm (Melksham solar farm),Solar,7,1335,1,49.6,49600,2016,2041
112,Lackford Estate Solar Park Ltd,Lackford Estate Solar Park,Solar,7,1338,1,20.9,20900,2014,2039
113,Greencoat Capital,Colpmans Farm,Solar,7,1339,1,5,5000,2012,2037
114,KL Technologies,Porvair International Ltd,Solar,7,1340,1,1.8,1800,2012,2037
115,The Green Company,Willsland Solar farm,Solar,7,1341,1,3.2,3200,2013,2038
116,Private Developer,Frying Down Copse Solar Farm,Solar,7,1342,1,5,5000,2012,2037
117,Low Carbon Solar,Wilmingham Lane Solar Farm,Solar,7,1343,1,7,7000,2013,2038
118,NextEnery Solar Fund (NESF),Chilton Cantelo Solar Farm,Solar,7,1344,1,5,5000,2013,2038
119,Wessex Solar Energy,Beaford Brook Solar Park,Solar,7,1346,1,5.2,5200,2013,2038
120,WS Systems Ltd,Hayford Farm,Solar,7,1348,1,8.9,8900,2014,2039
121,AEE Renewables,Halse Farm,Solar,7,1349,1,8.2,8200,2013,2038
122,Ms Power Projects Ltd,STRETE FARM SOLAR FARM,Solar,7,1352,1,4.8,4800,2013,2038
123,Private Developer,Tregassow Farm - Solar Modules,Solar,7,1353,1,6,6000,2013,2038
124,Private Developer,Higher Hatherleigh Solar Farm extension,Solar,7,1355,1,1.5,1500,2013,2038
125,Lightsource Renewable Energy,Pont Andrew Solar Farm,Solar,7,1356,1,1.5,1500,2012,2037
126,Green Cat Renewables,Cairnhill Farm solar park,Solar,7,1358,1,2.4,2400,2015,2040
127,Sunsave 16 Ltd/ Vogt Solar,Manston Solar Farm extension (Westwood),Solar,7,1359,1,9.2,9200,2014,2039
128,Sunsave 10 (FAREHAM) / Vogt Solar,Newlands Farm Solar - resubmission,Solar,7,1362,1,20.5,20500,2014,2039
129,Lark Energy,Fen Road,Solar,7,1367,1,1.4,1400,2014,2039
130,Private Developer,Long Meadow Farm,Solar,7,1374,1,4.1,4100,2015,2040
131,Clinton Devon Estates,Liverton Farm,Solar,7,1380,1,4.8,4800,2015,2040
132,Sunsave 20 (Knowlton) Ltd/ Vogt Solar ,Home Farm (Knowlton - solar),Solar,7,1382,1,11.5,11500,2014,2039
133,AEE Renewables,Lake Farm,Solar,7,1384,1,5,5000,2011,2036
134,Orta Solar,Parkhouse Corner (Orta Solar),Solar,7,1385,1,6.6,6600,2013,2038
135,Solar Power South,Sandhill Solar Park,Solar,7,1386,1,2,2000,2011,2036
136,Abbey Renewables,Mingay Farm,Solar,7,1387,1,5,5000,2011,2036
137,AEE Renewables,Jordanston Solar Farm,Solar,7,1388,1,5,5000,2013,2038
138,Aldi,Aldi Distribution Centre - Neston,Solar,7,1390,1,1.2,1200,2014,2039
139,British Solar Renewables,Rodbourne Rail Farm - Solar Park,Solar,7,1394,1,7.6,7600,2013,2038
140,Lark Energy,Barnby Moor,Solar,7,1404,1,4,4000,2015,2040
141,NextEnery Solar Fund (NESF),Knockworthy Farm,Solar,7,1416,1,3.5,3500,2013,2038
142,NextEnery Solar Fund (NESF),"Raglington Farm, Botley Road, Shedfield, Southampton, Hampshire",Solar,7,1418,1,5.8,5800,2013,2038
143,Lightsource Renewable Energy,Stables Farm,Solar,7,1421,1,1.5,1500,2012,2037
144,Lightsource Renewable Energy,Luson Farm,Solar,7,1423,1,1.9,1900,2013,2038
145,INRG Solar,Kellygreen Farm,Solar,7,1428,1,4,4000,2016,2041
146,juwi Renewable Energies,Grove Farm (solar),Solar,7,1429,1,3.5,3500,2015,2040
147,Lark Energy,Marston Solar Farm,Solar,7,1433,1,4.9,4900,2011,2036
148,Lightsource Renewable Energy,Tredown Solar Farm,Solar,7,1435,1,1.2,1200,2013,2038
149,Lightsource Renewable Energy,Slaughtergate Farm,Solar,7,1439,1,1.8,1800,2013,2038
150,Lightsource Renewable Energy,Kia Ora Farm,Solar,7,1441,1,1.8,1800,2013,2038
151,Lightsource Renewable Energy,Ellicombe Farm,Solar,7,1442,1,1.4,1400,2013,2038
152,Lightsource Renewable Energy,Southcombe Farm,Solar,7,1443,1,1.2,1200,2013,2038
153,Lightsource Renewable Energy,West Bradley Farm,Solar,7,1445,1,1.5,1500,2012,2037
154,Lightsource Renewable Energy,Whiddon Farm,Solar,7,1446,1,1,1000,2013,2038
155,Lightsource Renewable Energy,Lovedean Farm,Solar,7,1449,1,4.5,4500,2013,2038
156,Lightsource Renewable Energy,Higher Knapp Farm,Solar,7,1450,1,1.5,1500,2013,2038
157,Low Carbon Solar,Park Farm,Solar,7,1453,1,4,4000,2013,2038
158,Lumicity,Dunkeswell Airfield,Solar,7,1454,1,2,2000,2015,2040
