,Company Name,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear,Bus
0,2020 Renewables/ NTR,Ardoch and Over Enoch Wind Farm (Over Enoch),Wind Onshore,9,3855,1,4.3,4300,2014,2038,0
1,2020 Renewables/ NTR,Ardoch and Over Enoch Wind Farm (Ardoch),Wind Onshore,9,3925,1,7.2,7200,2014,2038,0
2,A7 Energy,Greendykeside,Wind Onshore,9,3236,1,4,4000,2007,2031,0
3,A7 Energy / Green Energy,Lochhead Farm,Wind Onshore,9,3453,1,6,6000,2009,2033,0
4,ABO Wind,Lairg Wind Farm,Wind Onshore,9,2796,1,7.5,7500,2012,2036,6
5,Aeolian Holderness Ltd,Burton Pidsea (Wadworth Hill) Wind Farm,Wind Onshore,9,3992,1,10.2,10200,2014,2038,0
6,Airtricity,Ardrossan,Wind Onshore,9,3117,1,24,24000,2003,2027,0
7,Airtricity,Minsca,Wind Onshore,9,4517,1,36.8,36800,2008,2032,0
8,Airtricity,Ardrossan Extension,Wind Onshore,9,4668,1,6,6000,2008,2032,0
9,Airtricity Scotland,Dalswinton,Wind Onshore,9,4520,1,30,30000,2008,2032,0
10,Airvolution Energy,Mossmorran Wind Farm,Wind Onshore,9,2780,1,4.6,4600,2015,2039,0
11,Airvolution Energy,Wythegill Wind Turbine,Wind Onshore,9,3832,1,2.3,2300,2015,2039,0
12,Airvolution Energy,Ystgellog Farm Wind Farm ,Wind Onshore,9,3856,1,4.6,4600,2013,2037,0
13,Airvolution Energy,Garlenick Estate 2 - Wind Turbines,Wind Onshore,9,3917,1,4,4000,2015,2039,0
14,Airvolution Energy,Airfield Farm (Podington) (Resubmission),Wind Onshore,9,4116,1,8.6,8600,2017,2041,0
15,Airvolution Energy,East Youlstone Wind Farm,Wind Onshore,9,4168,1,4,4000,2015,2039,0
16,Airvolution Energy,New Rides Wind Farm,Wind Onshore,9,4403,1,8.8,8800,2018,2042,0
17,Airvolution Energy,M1 J18 Wind Turbines,Wind Onshore,9,4598,1,4,4000,2014,2038,0
18,Airvolution Energy,Kinegar Quarry (resubmission),Wind Onshore,9,4601,1,5,5000,2017,2041,0
19,AMEC/ Border Winds,Clachan Flats Wind Farm,Wind Onshore,9,3448,1,15,15000,2008,2032,0
20,Arnish Electric Ltd / Farm Energy,Arnish Moor,Wind Onshore,9,3306,1,3.9,3900,2006,2030,0
21,Arnish Electric Ltd / Farm Energy Ltd,Pentland Road Wind Farm,Wind Onshore,9,4063,1,13.8,13800,2013,2037,0
22,Arnold White Estates (AWE Renewables),Double Arches Quarry Wind Turbine,Wind Onshore,9,4295,1,1.5,1500,2014,2038,0
23,Associated British Ports,ANP Newport Wind Turbine,Wind Onshore,9,5555,1,2.3,2300,2016,2040,0
24,Auquhirie Land Company Ltd,St John Hill,Wind Onshore,9,2867,1,7.7,7700,2013,2037,0
25,Aviva,Woolley Hill Wind Farm,Wind Onshore,9,4175,1,10,10000,2014,2038,0
26,Aviva,Den Brook,Wind Onshore,9,4266,1,18,18000,2016,2040,0
27,Aviva,Jack's Lane Wind Farm,Wind Onshore,9,4649,1,13.8,13800,2015,2039,0
28,AWE Renewables,Quarrendon Fields,Wind Onshore,9,4908,1,1.5,1500,2014,2038,0
29,Awel Aman Tawe Community Energy,Mynydd Y Gwrhyd Windfarm (resubmission),Wind Onshore,9,3896,1,4.7,4700,2017,2041,0
30,Ayre Energy/Aquatera Ltd,Barns of Ayre Wind Turbines (2),Wind Onshore,9,3902,1,1.8,1800,2013,2037,0
31,Baillie Windfarm Ltd,2+C35:D36,Wind Onshore,9,4021,1,52.5,52500,2013,2037,0
32,Banks Renewables,Penny Hill Lane,Wind Onshore,9,3677,1,19.8,19800,2013,2037,0
33,Banks Renewables,Hazlehead,Wind Onshore,9,3937,1,6,6000,2011,2035,2
34,Banks Renewables,Marr Windfarm,Wind Onshore,9,3963,1,8,8000,2012,2036,14
35,Banks Renewables,Armistead Wind Farm,Wind Onshore,9,3986,1,12,12000,2013,2037,0
36,Banks Renewables,Heysham South Wind Farm,Wind Onshore,9,4174,1,7.5,7500,2015,2039,0
37,Banks Renewables,Lambs Hill,Wind Onshore,9,4390,1,8,8000,2017,2041,0
38,Banks Renewables,Middle Muir Wind Farm,Wind Onshore,9,4440,1,51,51000,2019,2043,0
39,Banks Renewables,Moor House Wind Farm (resubmission),Wind Onshore,9,4642,1,12,12000,2017,2041,0
40,Banks Renewables,Kype Muir Wind Farm,Wind Onshore,9,4643,1,88.4,88400,2019,2043,0
41,Banks Renewables,Hook Moor,Wind Onshore,9,4658,1,10.3,10300,2016,2040,0
42,BayWa r.e.,Wathegar 2 Wind Farm,Wind Onshore,9,4425,1,18.5,18500,2017,2041,0
43,Baywind Co-op & Energy4All & Belltown Power,Furness Wind Farm/High Winds (Harlock Repowering) ,Wind Onshore,9,4177,1,11.5,11500,2016,2040,0
44,Ben Aketil Wind Energy Ltd,Ben Aketil Extension,Wind Onshore,9,3668,1,2.6,2600,2011,2035,1
45,Bernard Matthews,Weston Airfield Wind Turbines,Wind Onshore,9,3354,1,3.6,3600,2015,2039,0
46,Bernard Matthews Green Energy,North Pickenham Airfield,Wind Onshore,9,3828,1,4,4000,2014,2038,0
47,BlackRock (formerly Muirhall Energy),Tormywheel,Wind Onshore,9,4263,1,30.8,30800,2017,2041,0
48,Blackrock Real Assets,Batsworthy Cross,Wind Onshore,9,4057,1,18,18000,2016,2040,0
49,Blantyre Muir Wind Energy Ltd??,Blantyre Muir Wind Farm,Wind Onshore,9,3810,1,9,9000,2013,2037,0
50,Blue Energy,Fanny House Farm/Heysham Moss,Wind Onshore,9,3792,1,1.5,1500,2015,2039,0
